ind,activity_label,ctx_a,ctx_b,ctx,endings,source_id,split,split_type,label,target_wrong_label,modified_ctx,strategy_type,strategy_risk
106,Canoeing,"Two women in a child are shown in a canoe while a man pulls the canoe while standing in the water, with other individuals visible in the background.",the child and a different man,"Two women in a child are shown in a canoe while a man pulls the canoe while standing in the water, with other individuals visible in the background. the child and a different man","[ ""are then shown paddling down a river in a boat while a woman talks."", ""are driving the canoe, they go down the river flowing side to side."", ""sit in a canoe while the man paddles."", ""walking go down the rapids, while the man in his helicopter almost falls and goes out of canoehood."" ]",activitynet~v_-xQvJmC2jhk,val,indomain,2,1,Two women and a child are in a canoe while a man pulls it standing in the water ripples swirl gently as the craft sways slightly and other individuals are visible in the background. the child and a different man,viewpoint_shift,medium
149,Playing harmonica,A man is standing in front of a camera. He starts playing a harmonica for the camera.,he,A man is standing in front of a camera. He starts playing a harmonica for the camera. he,"[ ""begins to play the harmonica with his body while looking at the camera."", ""seems to be singing while playing the harmonica."", ""rocks back and forth to the music as he goes."", ""painted a fence in front of the camera."" ]",activitynet~v_0RUMAGGab1k,val,zeroshot,2,1,A man is standing in front of a camera his chest rises slightly with each breath as he starts playing a harmonica for the camera. he,viewpoint_shift,medium
615,Grooming dog,There's a nbc news reporter wearing a red sweater and white shirt talking about dog grooming by scissor wizard a grooming company.,the representative from the company,There's a nbc news reporter wearing a red sweater and white shirt talking about dog grooming by scissor wizard a grooming company. the representative from the company,"[ ""is talking about the services they offer and how those dogs participate in dog shows."", ""speaks to a woman sitting on a colorful conference room chair next to a brown dog kennel in front of them."", ""tells viewers about a dog grooming company, itv with a website."", ""in grey sweater and black pants talks about the procedures on grooming dogs in life and techniques."" ]",activitynet~v_63Zt34YuyRk,val,indomain,0,1,There's a NBC news reporter in a red sweater and white shirt talking about dog grooming by Scissor Wizard a colorful conference room chair and brown dog kennel are visible nearby as she speaks. the representative from the company,viewpoint_shift,medium
689,Clean and jerk,Men are lifting heavy weights over their head several times. A man in a blue shirt is watching one of the men.,a man in a gray shirt,Men are lifting heavy weights over their head several times. A man in a blue shirt is watching one of the men. a man in a gray shirt,"[ ""is watching the men on the ground."", ""hits a big weight in slow motion."", ""is talking to one of the men in the middle of the gym."", ""is mimicking the person lifting the weight."" ]",activitynet~v_7NMds32-lMc,val,zeroshot,3,2,Men are lifting heavy weights over their heads several times grunts echo in the gym a man in a blue shirt stands nearby glancing toward one of the lifters as he pauses. a man in a gray shirt,viewpoint_shift,medium
859,Using the pommel horse,"A gymnast put power chalk power on his hands and stands near the pommel horse. Then, the gymnast approach the pommel horse to spin around many times.",then,"A gymnast put power chalk power on his hands and stands near the pommel horse. Then, the gymnast approach the pommel horse to spin around many times. then","[ "", the gymnast stand on his hand and jumps to land on the floor, while people applaud."", "", the gymnast put the star light on his hands and jumps high using strength."", "", the gymnast puts fluid on the pommel horse and sit on it to rise the body while position it."", "", the gymnast cross the pommel horse with the long rope while performing handsprings."" ]",activitynet~v_9VGxxRNOdbM,val,indomain,0,2,A gymnast rubs power chalk on his hands and stands near the pommel horse the equipment¡¯s surface glints faintly then the gymnast approaches to spin around many times. then,viewpoint_shift,medium
"1,066",Baton twirling,The girl begins to incorporate her arms and does a flip and continues to flip the baton over her hands and arms.,as the young lady,The girl begins to incorporate her arms and does a flip and continues to flip the baton over her hands and arms. as the young lady,"[ ""continues her performance, she twirls the baton between her legs and over her head, catches it and does a gallop."", ""is still serving the baton, she places the extension on her left hand and does a full 180 degree spin in one flip."", ""becomes more involved in the ballet, she does a final dismount to bring her elbows down and her upper body straight."", ""is zapping her arms and is practicing her baton twirling technique, she grabs the baton from the ground and shows herself victorious while her coach claps."" ]",activitynet~v_C1djGYqkhYI,val,indomain,0,2,The girl begins to incorporate her arms into fluid movements doing a flip and continuing to twirl the baton over her hands ballet-like grace is evident in her posture as she performs. as the young lady,viewpoint_shift,medium
"1,486",Doing a powerbomb,Two other men gets in the ring and are wresting the man in the center. People are around the ring wtching the wrest.,three journalists,Two other men gets in the ring and are wresting the man in the center. People are around the ring wtching the wrest. three journalists,"[ ""came in and started talking to the reporter."", ""are standing wearing suits and watch the men in the ring."", ""gets in front of them tugging and pushing the man."", ""are wrestling at the ring as people are seeing them."" ]",activitynet~v_HV_yqsiFoKA,val,indomain,1,0,Two other men get in the ring and wrestle the man in the center camera flashes flicker from the crowd around the ring as they grapple. three journalists,viewpoint_shift,medium
"1,608",Playing polo,A group of men on donkeys play a form of polo on a dirt field. The camera pans to people watching the game.,the camera,A group of men on donkeys play a form of polo on a dirt field. The camera pans to people watching the game. the camera,"[ ""moves to the women playing."", ""pans between the playing couples."", ""cuts to people riding horses on a dirt track."", ""returns to the people riding the donkeys."" ]",activitynet~v_IrO7Fgr102M,val,indomain,3,2,A group of men on donkeys play a form of polo on a dirt field hoof prints mark the ground near a distant section of horse tracks the camera pans to people watching the game. the camera,viewpoint_shift,medium
"1,626",Surfing,There are two men in the water wearing wetsuits and laying on their surfboards as they ride a wave.,the camera man,There are two men in the water wearing wetsuits and laying on their surfboards as they ride a wave. the camera man,"[ ""is shorter than the men and has a shorter range."", ""is in a fast moving boat and he continues to video the surfers who are still riding the wave but now they are standing up."", ""catches one of the surfers as he slips into the goop."", ""is surfing as fast as he can on the water as the waves crescendo."" ]",activitynet~v_JAZu9CWEVbQ,val,indomain,1,3,There are two men in the water wearing wetsuits laying on their surfboards as they ride a wave its crest builds higher and faster with each passing second. the camera man,viewpoint_shift,medium
"5,096",Arm wrestling,Two men sit across a table and begin an arm wrestling match.,they both,Two men sit across a table and begin an arm wrestling match. they both,"[ ""start fighting on the table at the same time."", ""struggle a bit until the man on the left eventually wins."", ""lower their knives to the table and begin slicing each other."", ""lean forward then back and grab for the object again."" ]",activitynet~v_xAI1y9izXOM,val,indomain,1,2,hands and begin an arm wrestling match shoulders shift forward slightly as they test each other¡¯s strength. they both,viewpoint_shift,medium
