ind,activity_label,ctx_a,ctx_b,ctx,endings,source_id,split,split_type,label,target_wrong_label,modified_ctx,strategy_type,strategy_risk
114,High jump,A boy is running down a track.,the boy,A boy is running down a track. the boy,"[ ""runs into a car."", ""gets in a mat."", ""lifts his body above the height of a pole."", ""stands on his hands and springs."" ]",activitynet~v_-zHX3Gdx6I4,val,zeroshot,2,1,"A boy is running down a track at a slow, unhurried pace. the boy",degree_modifier,medium
180,Sharpening knives,A man is holding a pocket knife while sitting on some rocks in the wilderness.,then he,A man is holding a pocket knife while sitting on some rocks in the wilderness. then he,"[ ""opens a can of oil put oil on the knife, and puts oil on a knife and press it through a can filled with oil then cuts several pieces from the sandwiches."", ""takes a small stone from the flowing river and smashes it on another stone."", ""uses the knife to shave his leg."", ""sand the rocks and tops them by using strong pressure."" ]",activitynet~v_0bosp4-pyTM,val,zeroshot,1,3,A man is holding a very dull pocket knife while sitting on some rocks in the wilderness. then he,degree_modifier,medium
200,Playing water polo,Two people are seen passing a ball back and fourth in a pool and leads into one speaking to the camera.,the man,Two people are seen passing a ball back and fourth in a pool and leads into one speaking to the camera. the man,"[ ""dips the ball and walks back with the boy and pours detergent into a cup again."", ""then throws the ball into the pool and begins running around with a sail in his hand while a group of men watch."", ""then takes a drink having a conversation with another man and another man leads into him throwing balls in the water and laughing to the camera."", ""demonstrates how to properly throw the ball with his hands while still speaking to the camera."" ]",activitynet~v_0hWGSkDnRHA,val,indomain,3,1,"Two people are seen passing a ball back and fourth in a pool in a casual, unstructured way and leads into one speaking to the camera. the man",degree_modifier,medium
354,Cutting the grass,A man is outside of a building. He is using commercial lawn mowing equipment.,he,A man is outside of a building. He is using commercial lawn mowing equipment. he,"[ ""walks back and forth as he mows the grass."", ""is animated as he does the task."", ""relaxes, making sure his lawn is pristine."", ""runs from one side of the building to the other."" ]",activitynet~v_2eep4G5Tgho,val,zeroshot,0,3,"A man is outside of a building. Commercial lawn mowing equipment can be operated quickly when covering small, narrow areas. He is using commercial lawn mowing equipment. he",degree_modifier,medium
399,Gargling mouthwash,A young boy and girl are standing over a sink with their mother talking. The mother instructs them on how to brush their teeth while laughing.,the boy,A young boy and girl are standing over a sink with their mother talking. The mother instructs them on how to brush their teeth while laughing. the boy,"[ ""puts a shirt on and rubs his mouth."", ""helps his younger sister brush his teeth."", ""walks with an empty mouthwash cup on a sink floor."", ""and girl then begin working out."" ]",activitynet~v_3HBAcaU552I,val,zeroshot,1,3,"A young boy and girl are standing over a sink with their mother talking. The mother instructs them on how to brush their teeth in a very high-energy, playful mood. the boy",degree_modifier,medium
493,Cutting the grass,He starts mowing his lawn casually going over all the grass. His dog comes outside and starts to follow him a little while he's closer to the house.,the yard,He starts mowing his lawn casually going over all the grass. His dog comes outside and starts to follow him a little while he's closer to the house. the yard,"[ ""is slowly starting to look really really nice, once he is completely finished the yard looks great, nice and smooth."", ""is very neat and clean and very active under the circumstances."", ""gets mowed quicker by the dog."", ""eventually looks happy on the outside and appears to be going pretty happily."" ]",activitynet~v_4ksF9BUdQJM,val,zeroshot,0,2,"He starts mowing his lawn in a very slow, unhurried pace going over all the grass. His dog comes outside and starts to follow him a little while he's closer to the house. the yard",degree_modifier,medium
586,Applying sunscreen,More and more people begin talking and each of them has a bottle of sun screen and starts to squirt it on their arms in effort to protect their skin.,a small blue bottle of the sun screen,More and more people begin talking and each of them has a bottle of sun screen and starts to squirt it on their arms in effort to protect their skin. a small blue bottle of the sun screen,"[ ""appears and then different people carry it to a table where they mix the liquid with a straw with a straw and take turns squirting the liquid into their skin."", ""appears near each of their hair as they continue to talk but no bottle at all appear."", ""is then shown and several more people begin talking about the product."", ""zooms in on sheers that they have on the floor."" ]",activitynet~v_5gc896my38M,val,indomain,2,0,"More and more people begin talking and each of them has a bottle of sun screen and starts to squirt it on their arms in a casual, playful way. a small blue bottle of the sun screen",degree_modifier,medium
606,Beer pong,One of the ping pongs lands in the cup and one of the boys begins to drink the beer.,the group,One of the ping pongs lands in the cup and one of the boys begins to drink the beer. the group,"[ ""of teens is sailing down the river with others sailing in the background."", ""gets up together and poses with their vests to celebrate."", ""continue to play beer pong when one final player is able to throw and land a ping pong ball while standing with his back to the cups at which point the boys celebrate, and laugh."", ""does a trick and the liquid is poured on a second table."" ]",activitynet~v_5wkGeYBS7hQ,val,indomain,2,3,"One of the ping pongs lands surprisingly firmly in the cup, and one of the boys begins to drink the beer with unusually exaggerated enthusiasm. The group grows rather rowdy, cheering far too loudly and knocking over a nearby cup of beer that spills across the table, making the surface slippery and unfit for continued play. the group",degree_modifier,medium
858,Using the pommel horse,A gymnast put power chalk power on his hands and stands near the pommel horse.,then,A gymnast put power chalk power on his hands and stands near the pommel horse. then,"[ "", the gymnast put strength and power item on his body and falls."", "", the gymnast approach the pommel horse to spin around many times."", "", the gymnast blade the board and stands in position facing the pommel horse doing blade moves."", "", the gymnast moves around and flips the chalk power to full weight and continues gymnastics for the next competition, after he turns and stands near the pommel horse."" ]",activitynet~v_9VGxxRNOdbM,val,indomain,1,3,A gymnast put a large amount of loose power chalk on his hands and stands near the pommel horse. then,degree_modifier,medium
887,Cleaning windows,A person is shown looking around a city and begins washing windows with his tools.,he,A person is shown looking around a city and begins washing windows with his tools. he,"[ ""then brushes right through the window and cleans it off."", ""uses a large block cutter to remove smaller blocks until he has the whole of the window covered."", ""puts water on a hose and begins cleaning the windows."", ""goes up and down the windows at a rapid pace and continues filming himself through the glass."" ]",activitynet~v_9nh_6Hzg_aw,val,indomain,3,1,"A person is shown looking around a city where windows are covered in unusually thick, stubborn grime that resists even the strongest cleaners. He begins washing windows with rather worn, ineffective tools, scrubbing frantically for several minutes while making barely any progress, growing visibly frustrated with the lack of results. he",degree_modifier,medium
923,Ice fishing,A man dressed in yellow and black winter clothes ice fishes on a a frozen lake.,the man,A man dressed in yellow and black winter clothes ice fishes on a a frozen lake. the man,"[ ""is reeling in a fish for a long time."", ""spins with his fishing pole in the air."", ""does a trick on his dirty ice fishing line."", ""does numerous tricks as he goes through these beauty course courses of ice covered lakes."" ]",activitynet~v_9yiXv7Hu5Lw,val,zeroshot,0,3,"A man dressed in yellow and black winter clothes ice fishes on a frozen lake with unusually thin, cracking ice under his feet. He holds a rather flimsy fishing pole that bends alarmingly under a surprisingly strong pull from below, but after frantically reeling for several minutes, he finds only a tangled mess of line and no fish. Growing increasingly bored and restless, he glances at the smooth, expansive ice around him. the man",degree_modifier,medium
"1,012",Hitting a pinata,A man is seen walking closer to a pinata while a large group of people stand around him.,the man,A man is seen walking closer to a pinata while a large group of people stand around him. the man,"[ ""shows off various tapers while swinging at the pinata and throwing them out to the crowd."", ""then throws the pin while others watch on the sides."", ""spins around several times and throws the stick."", ""misses the pinata and hits a person behind him, shown again in slow motion."" ]",activitynet~v_BJGACTBaU_Y,val,indomain,3,2,"A man is seen walking closer to a pinata while an unusually dense crowd presses extremely close around him, leaving almost no space to swing the bat. He steps forward rather unsteady on his feet, frantically searching for room to move, but the crowd jostles him continuously. the man",degree_modifier,medium
"1,047",Ironing clothes,The woman sets the iron aside and flips the clothing. The woman uses the iron on the other side of the clothing.,the woman,The woman sets the iron aside and flips the clothing. The woman uses the iron on the other side of the clothing. the woman,"[ ""scrubs the clothing with her hands."", ""quickly picks up and irons, flames dancing over the clothing."", ""sets the iron aside."", ""crosses her arms in front of her and it's gone."" ]",activitynet~v_BfsCKU69hHs,val,indomain,2,1,The woman sets the iron aside and flips the clothing. The woman uses the iron on the other side of the clothing. The iron¡¯s temperature was adjusted to a relatively high setting earlier. the woman,degree_modifier,medium
"1,112",Clean and jerk,A man in a blue shirt and shorts lifts a large weight over his head. Another man is filming it. The same man comes back and lifts the weight over his head again.,he,A man in a blue shirt and shorts lifts a large weight over his head. Another man is filming it. The same man comes back and lifts the weight over his head again. he,"[ ""drops it on the ground and walks away."", ""again lifts the weight over his head."", ""drops it and runs towards the camera."", ""drops it onto the floor where it gets stuck."" ]",activitynet~v_CcMic7jNIuE,val,zeroshot,0,1,A man in a blue shirt and shorts lifts a large weight over his head. Another man is filming it. The same man comes back and lifts the weight over his head again. The weight he¡¯s lifting this time feels noticeably lighter. he,degree_modifier,medium
"1,321",Clean and jerk,A man is in the gym in tight he bends over picks up a weight over his head and drops it back down.,he,A man is in the gym in tight he bends over picks up a weight over his head and drops it back down. he,"[ ""lifts his legs and pulls the bar up on his body and lifts the weight above his head."", ""lifts it again lifts it over his head and drops it this time and he loosens his way to the top and grabs it again."", ""raises the bar over his head followed by another."", ""walks back and loosens up before walking back up and doing it again adding more weight."" ]",activitynet~v_ErEr4Sxdprw,val,zeroshot,3,0,"A man is in the gym wearing extremely tight athletic clothing that severely restricts his arm movement. He bends over to pick up an abnormally heavy barbell, his arms shaking violently as he lifts it over his head, then drops it back down clumsily, his breath coming in ragged gasps. The gym floor is surprisingly slippery, making it hard to maintain balance, and he glances repeatedly at his legs as if seeking extra support. he",degree_modifier,medium
"1,821",Tennis serve with ball bouncing,"He starts with his first serve where the ball hits the net. Then he takes another ball, bounces it and serves again.",the ball,"He starts with his first serve where the ball hits the net. Then he takes another ball, bounces it and serves again. the ball","[ ""returns with a third serve."", ""bounces again and hits the net multiple times."", ""goes over the net and falls on the other side of the court."", ""comes back to him without touching the net."" ]",activitynet~v_KwY8nf4MqR4,val,indomain,2,1,"He starts with his first serve where the ball hits the net. Then he takes another ball, bounces it and serves again. The net¡¯s height was adjusted to be slightly higher than the standard setting. the ball",degree_modifier,medium
"2,216",Playing violin,One guy stands up with a violin. The guy begins playing the violin and dancing. The guy kicks his shoe off while dancing.,the guy,One guy stands up with a violin. The guy begins playing the violin and dancing. The guy kicks his shoe off while dancing. the guy,"[ ""resumes playing the violin."", ""stops playing and drops the violin."", ""sits down and plays the violin."", ""taps his shoe while playing the violin."" ]",activitynet~v_Q8EoKJNm4mc,val,zeroshot,2,1,"One guy stands up with a violin. The guy begins playing the violin and dancing. The guy kicks his shoe off while dancing. His dancing movements grow noticeably energetic, his arms swinging widely as he maintains his playing. the guy",degree_modifier,medium
"5,105",Doing a powerbomb,Two men perform a flip move on a playground that leads to one being dropped on the ground.,the camera,Two men perform a flip move on a playground that leads to one being dropped on the ground. the camera,"[ ""follows the men down the path."", ""zooms in on the fallen man while they all laugh together."", ""rolls off and turns around on itself in slow motion."", ""follows one man to the ground, but is blocked by a garbage can and one man surrounds him with objects."" ]",activitynet~v_xEnnIWce1ok,val,indomain,1,3,"Two men perform a flip move with a much larger range than usual on a playground, leading to one being dropped closer to the edge area. the camera",degree_modifier,medium
"5,145",Cutting the grass,A lawn mower is tied to a white rope.,it,A lawn mower is tied to a white rope. it,"[ ""is being finally measured for size."", ""lifts the side tire of the mower, and then rolls it onto the grass."", ""is pushing leaves with the handle."", ""is turned on and starts going in circles around the rope mowing the lawn."" ]",activitynet~v_xg0OCQW8t2s,val,zeroshot,3,1,A lawn mower is tied to a surprisingly thin white rope somewhat loosely. It,degree_modifier,medium
"5,182",High jump,"The guy seems to be practicing how high he can jump by jumping over the pole many times, each time a person raises the pole higher and higher to see if the guy can jump over it. One jump the guy knocked the pole down when he tried to hump over it.",the guy,"The guy seems to be practicing how high he can jump by jumping over the pole many times, each time a person raises the pole higher and higher to see if the guy can jump over it. One jump the guy knocked the pole down when he tried to hump over it. the guy","[ ""knock the pole down six time out of all his jumps."", ""jumps and does several tricks over the pole, trying to do better than the other people who did it."", ""jumps over the pole but does not get over it."", ""try to balance far too far and he hits the dirt catching himself next to other guy."" ]",activitynet~v_y5wu5pysE14,val,zeroshot,0,2,"The guy seems to be practicing how high he can jump by jumping over the pole many times, each time a person raises the pole higher and higher to see if the guy can jump over it. One jump the guy knocked the pole down when he tried to hump over it. This time, his take-off height is slightly lower than his usual level. the guy",degree_modifier,medium
