example_id,article,answer,question,options,modified_question,target_wrong_choice,strategy_type,strategy_risk
middle2523.txt,"Joe, an outgoing girl, is from a rich family. Therefore she can afford almost everything. But Joe's parents are too busy to spend enough time with her, which makes Joe more than lonely. So, she always goes to WeChat. On WeChat, she can do a lot of things like buying things, reading articles, and making friends with those she either knows or not.
She uses the name Linda on WeChat and has made a lot of friends there. Last year Joe made a foreign friend on WeChat. Her name was Catherine and she lived in Sydney. Catherine once sent a picture of ""herself"": a tall, good-looking young woman with big eyes. Catherine and Joe were both interested in rock music and modern dance. So, they liked each other very much.
When Joe's father told her that he was meeting a client in Sydney this summer, she went with him to give Catherine a surprise for her birthday. When Joe came to Catherine's house in Sydney, she found that her foreign ""girlfriend"" was a ten-year-old boy named Jim! What a surprise!",C,"From this article, we can say  _  .","['Everyone uses his real name on WeChat'
 'On WeChat, we can only talk with Chinese people.'
 'On WeChat, we can talk with Chinese people in Australia.'
 ""Joe's father went to Sydney to meet Joe's friend Catherine.""]","From this article, we can say _ about foreign friends.",B,condition_scope,high
middle7361.txt,"Lucy:I like sports. I have ten tennis balls, seven basketballs, four volleyballs and five soccer balls. I play tennis with my friends every day.
Mary:I have five baseballs, five volleyballs, two soccer balls. I like ping-pong. It's easy for me. I often play ping-pong with my classmates. I also have three ping-pong bats and some ping-pong balls.
Alice:I don't have any balls. I  love sports, but I don't play them. I only watch them on TV.",D,Mary doesn't have  _  .,['volleyballs' 'ping-pong balls' 'baseballs' 'basketballs'],"According to common school sports, which kind of balls might Mary be least interested in having for herself and more likely just borrow from others?",A,condition_scope,high
middle1575.txt,"Do you have a dictionary? I think almost everyone has one.But ,how often do you use a dictionary? I don't believe that everyone makes good use of it.You may come across lots of new words in your study and you will ask someone for the answers. But if you have a dictionary ,
please don't let it sleep.You should make better use of it .It can tell you not only the meaning of the words but also the use of them.What's more, it can tell you how to use them.
It is true that dictionaries are very useful and important to us.They are like silent teachers. When you have a question, you can turn to them.They will give you the right answer.They are also like a trusted friend and stay with you forever. You can learn a lot from them .
Don't be lazy. Don't let your dictionary sleep any more. You will find it is a new world if you walk to it.",C,Which is TRUE according to the passage?,"['We should let the dictionary sleep.'
 'Dictionaries are like our mothers.'
 'Dictionaries are very useful to us.'
 'We can see the film in the dictionary.']",Which is TRUE about learning English according to the passage?,B,condition_scope,high
middle6126.txt,"Do you know how to talk to others politely in English? Have a look at the following.
Could you give me five minutes? VS Go away.
You're really busy, but your classmate needs your help. When you're busy and can't help him or her, you can't say ""Go away"". And you can say, ""Could you give me five minutes?""
Excuse me. VS Move
Telling someone to move out of the way is very rude . When someone is in your way, you should say ""Excuse me"".
I'm afraid I can't. VS No
It can often be difficult to _ an invitation from a friend. Saying ""No"" would be impolite. It's a good idea to say,""I'm afraid I can't."" if you have to say no to an invitation.
Would you mind...? VS Stop it!
If someone is doing something rude, would you like them to stop? You shouldn't say, ""Stop talking on your phone in the cinema!"" You can say, ""Would you mind not using your phone in the cinema, please?""",C,Which is a polite way to talk to others?,['Stop it!' 'Go away!' 'Excuse me' 'Shut up'],Which is a polite way to talk to others when you want them to stop something?,A,condition_scope,high
middle6126.txt,"Do you know how to talk to others politely in English? Have a look at the following.
Could you give me five minutes? VS Go away.
You're really busy, but your classmate needs your help. When you're busy and can't help him or her, you can't say ""Go away"". And you can say, ""Could you give me five minutes?""
Excuse me. VS Move
Telling someone to move out of the way is very rude . When someone is in your way, you should say ""Excuse me"".
I'm afraid I can't. VS No
It can often be difficult to _ an invitation from a friend. Saying ""No"" would be impolite. It's a good idea to say,""I'm afraid I can't."" if you have to say no to an invitation.
Would you mind...? VS Stop it!
If someone is doing something rude, would you like them to stop? You shouldn't say, ""Stop talking on your phone in the cinema!"" You can say, ""Would you mind not using your phone in the cinema, please?""",A,"If you don't like what someone is doing, what can you say?","['Would you mind not stopping your car here?' ""Don't stop your car here.""
 'Move out of the way.' 'Stop smoking here']","If you don't like what someone is doing and you are in a hurry, what can you say?",B,condition_scope,high
middle790.txt,"We have twenty minutes' break time after the second class in the morning.  Look!  Most of us are playing during the break time. Some students are on the playground . They are playing basketball. Oh! A boy is running with the ball.  And another is stopping  him. They look so cool. And there are some girls watching the game. Some students are in the classroom. They are talking.  A few of them are reading and doing homework. Look! A girl is looking at the birds in the tree in front of the classroom. She must be thinking of something interesting because she is smiling .
What are the teachers doing? Some of them are working in the office. And some are talking with students. Everyone is doing his or her things, busy but happy!",C,Where are the students playing basketball?,"['In front of the tree.' 'In front of the classroom.' 'On the playground.'
 'In the tree.']",Where are the students playing basketball during the break?,B,condition_scope,high
middle2682.txt,"Today is Sunday. Our class meets at seven thirty a.m. at the school gate. We take a bus to Haian Park. The price of the ticket  for each adult  is eighteen yuan, but for each student is half. The park is open from 8 a.m. to 5 p.m. First we play games in the park. And then we have dinner at noon. After that we sit and chat under the trees. At half past three, we go to the Swimming Club. We come back home at about six o'clock in the afternoon because  it is time for all of us to have supper. We are tired  but we are very happy.",A,We meet   _,['at the school gate.' 'in the park' 'in the bus' 'in the Swimming Club'],We meet   _   before we all leave for the park.,B,condition_scope,high
middle6049.txt,"In some countries, people eat rice every day. Sometimes they eat it twice or three times a day for breakfast, lunch and supper. Some people do not eat some kinds of meat. Muslims, for example, do not eat pork.
Japanese eat lots of fish. They are near the sea. So it is easy for them to get fish.
In the West, such as England and the USA, the most important food is potatoes. People there can cook potatoes in many different ways.
Some people eat only fruit and vegetables. They do not eat meat or fish or anything else from animals. They eat food only from plants . They say the food from plants is better for us than meat. These people are called _",D,"In some countries, people eat   _  every day.",['fish' 'vegetables' 'fruit' 'rice'],"In some countries near the sea, people eat   _   every day.",A,condition_scope,high
middle6632.txt,"Kids have unbelievable imaginations. We asked one hundred kids how robots might help them learn better. This is what they thought.
Roberts can make learning fun
Kids dreamed robots would make learning fun. One 9-year-old boy in Germany says, ""When I get home, my robot helps me with my homework. My mother and father came in and said 'no video games now, homework first'. When they saw that I had finished my homework, they'd be surprised"".
Robots take care of the dirty work
Dirty dishes? No problem. A quarter of kids surveyed imagined that their robots could do chores and boring work so that they might be freed up.
Robots are our friends
Two-thirds of the kids thought that their robots could be friends. One 10-year-old French boy describes his dream robot: ""He created books for me to read, we played with toy cars. He keeps my secrets. I can tell him anything, and he gives me suggestions.""
Robots are cool
An 8-year-old girl in the U.S. imagines that her robot is ""really smart and everyone likes to talk to her. She has a funny voice, but we do not laugh at her.""",A,The boy from Germany wanted his robot to  _  .,"['help him with the homework' 'play game spot with him'
 'surprise his parents' 'make fun of him']",The boy from Germany wanted his robot to  _   so that his parents would be surprised.,C,condition_scope,high
middle5072.txt,"Do you help with chores at home? These are what some people say about it.
Manuel, 19:   ""I only like to do the laundry. My mom does the other chores. When she isn't at home, I can cook an easy dinner myself, but please don't ask me whether I'm a good cook or not. ""
Vivian, 38:  ""I do everything because I live by myself now. I think I can do everything because I watched and helped my mom cook our family meals all the time when I was young. At first I was told to help my mom, but later I began to like cooking. Now I can cook many kinds of dishes. ""
Arthur, 67:  ""I do many things around the house because everyday is like Sunday for me now. I have to do something to keep busy. I help with gardening and cleaning the most. I enjoy doing these things. Cooking and laundry are my wife's chores. """,D,Why does Vivian have to do all the chores?,"['She loves doing chores.' 'Her parents force   her to do all the chores'
 'Her mother asks her to do all the chores.' 'She lives by herself.']",Why does Vivian have to do all the chores at home now?,C,condition_scope,high
