example_id,article,answer,question,options,modified_question,target_wrong_choice,strategy_type,strategy_risk
middle2523.txt,"Joe, an outgoing girl, is from a rich family. Therefore she can afford almost everything. But Joe's parents are too busy to spend enough time with her, which makes Joe more than lonely. So, she always goes to WeChat. On WeChat, she can do a lot of things like buying things, reading articles, and making friends with those she either knows or not.
She uses the name Linda on WeChat and has made a lot of friends there. Last year Joe made a foreign friend on WeChat. Her name was Catherine and she lived in Sydney. Catherine once sent a picture of ""herself"": a tall, good-looking young woman with big eyes. Catherine and Joe were both interested in rock music and modern dance. So, they liked each other very much.
When Joe's father told her that he was meeting a client in Sydney this summer, she went with him to give Catherine a surprise for her birthday. When Joe came to Catherine's house in Sydney, she found that her foreign ""girlfriend"" was a ten-year-old boy named Jim! What a surprise!",C,"What is the real name of Joe's ""girlfriend""?",['Catherine' 'Joe' 'Jim' 'Linda'],"At the beginning of the story, before he knows the truth, what name does Joe believe his ""girlfriend"" really has?",A,time_shift,medium
middle5843.txt,"In some places around China,the junior high school graduates have to take a P. E. test. The full marks are usually 30 points and it counts for much in the senior high school entrance exam.
In Nanjing the test is held in April. Students have the test in their own schools. Each student is tested on three sports. They can choose long jump, basketball dribbling   or volleyball. The _ is for boys and girls can choose the sit-up. Both boys and girls must skip  in the test.
Most students find the test easy and more than 90%of them can get full marks. That's because they have been training for it during the three whole years. Students in Junior Three usually do lots of practice in P. E. classes. The training makes the test easier than it seems to be.
Students in Nanjing don't need to run a lot for the test, but students in Beijing must do lots of running for the test. Running is one of the sports in test. So in P. E. classes, they usually run a lot. Sometimes they have to run 3,000 meters in one class. Most teachers and parents welcome the P. E. test. They say it helps students build up their health and it's really useful.
,.",A,Students in Nanjing have the P. E. test in   _  .,['spring' 'Junior One' 'autumn' 'Junior Two'],"Students in Nanjing have the P. E. test in   _  , just before the new term begins.",C,time_shift,medium
middle3297.txt,"Joe Read studied in this school for fourteen years. When he finished school, he was already eighteen years old. And then his father said to him, ""You finished school, and you are a good student. Now you may go to town and get a good job. They need some clever people to work in the office. The people there can get a lot of money now. If you stay at home, you can't get money from our family."" A few weeks later, Joe went to the office and asked for a job there. A man took him into a small room and gave him some questions on a piece of paper. Joe answered the questions quickly, and he gave the paper to the man. The man looked at the paper for a few minutes and then asked, ""You were born on Sep. 23. But which year were you born in?"" Joe answered, ""Oh, every year.""",D,How old was Joe when he went to school?,['8.' '18.' '4.' '14.'],"How old was Joe when he first went to school, as a little boy?",A,time_shift,medium
middle7765.txt,"Dan was the doorman of a club in a big city. Every day, thousands of people passed his door, and a lot of them stopped and asked him, ""What's the time, please?""
After a few months, Dan said to himself, ""I'm not going to answer all those stupid people any more. I'm going to buy a big clock and put it on the wall here."" Then he did so.
""Now people aren't going to stop and ask me the time."" He thought happily.
But after that, a lot of people stopped, looked at the clock and asked Dan, ""Is that clock right?""",D,What question did thousands of people ask Dan a few months ago?,"['Is that clock right?' ""What's the price of the big clock?""
 'How are you?' 'What time is it,please?']","Which question might someone think people asked Dan a few months ago, if they mix up the question after he put the clock with the earlier one?",A,time_shift,medium
middle7924.txt,"On a hot summer day, Holmes and Dr. Watson went on a camping trip. After a good meal and a bottle of wine, they lay down in a tent for the night and went to sleep.
Some hours later, Holmes woke up and pushed his friend. ""Watson, look! What can you see in the sky?""
Watson replied, ""I see millions and millions of stars.""
""What does that tell you?"" asked Holmes.
Watson thought for a while. ""First, it tells me that we will have a beautiful clear day tomorrow. Second, it tells me that the time is about twelve o'clock. And...""
""What else?"" Holmes asked.
""Well, it also reminds me that the world is so big and we are so small. What does that tell you?"" Holmes said with a grin on his face, ""You silly guy! It only tells me that someone has stolen our tent!""",A,Holmes woke up   _  .,"['in the middle of the night' 'early in the morning'
 'soon after he fell asleep' 'after Watson pushed him']",Holmes woke up   _   while they were camping in the field.,B,time_shift,medium
middle1451.txt,"A long time ago, in 1893, in the United States, some people were talking about fruits and vegetables. They asked, ""What are fruits and what are vegetables? How are fruits different from vegetables and vegetables different from fruits?"" They talked for a long time and then they decided, ""We eat vegetables as part of a meal, but we eat fruits before or after a meal.""
In real life, people do not think the dictionaries give the right meaning of a word. For example, the dictionaries say that tomatoes are fruits. But few people know that. Most people think they are vegetables. They call them vegetables and eat them as vegetables. To most people, fruits mean sweet things like apples, pears, oranges and watermelons.
What are vegetables then? We call many plants and grasses vegetables. Some people think some fruits are vegetables, such as apples, pears and bananas. But to most people, vegetables mean things like potatoes, onions and carrots.",D,People usually eat vegetables   _  .,['before a meal' 'after a meal' 'alone' 'during a meal'],People usually eat vegetables   _   in a meal.,A,time_shift,medium
middle3920.txt,"Jeff Keith has only one leg. When he was 12 years old, Jeff had cancer. Doctors had to cut off most of his right leg. Everyday Jeff puts on an _ leg. The leg is plastic. With the plastic leg Jeff can ski, ride a bicycle, swim, and play soccer. He can also run.
In the photo, Jeff is running with some young men. They have plastic legs, too. They are wearing special T-shirts. The T-shirts say, ""Run, Jeff, Run. Jeff Keith Run Across America.""
When he was 22 years old, Jeff Keith ran across the United State, from the East Coast to the West Coast. He started running in Boston. Seven months later, he stopped running in Los Angeles. He ran 3,200 miles, that's about 16 miles each day. Jeff wore out 36 pairs of running shoes and five plastic legs.
Jeff stopped in cities on the way to Los Angeles. In every city people gave Jeff money. The money was not for Jeff. It was for American Cancer Society. The American Cancer Society used the money to learn about cancer.
On the way to Los Angeles Jeff talked to people about cancer. He also talked about being disabled. Jeff is disabled, but he can do many things: he skis, swims, plays soccer, and runs. He finished college and is studying to be a lawyer. Jeff says, ""People can do anything they want to do. I want people to know that. I am not only for disabled people. I ran for everyone!""
,.",C,Jeff ran across American   _  .,"['when he was twelve years old' 'when he was at college'
 'at the age of twenty-two' 'at the age sixteen']",People often link Jeff¡¯s major life challenges to the time he first faced his health condition when did he run across America?,A,time_shift,medium
middle4000.txt,"Unlike Chinese people, the ones in the West believe in star signs. Western world has a complete system  of star signs, and they explain them and use them to tell a person's characteristics and the things they like or dislike. There are a cycle of 12 of them in all. All of them are decided by the date instead of the year of your birth and each of them has its own characteristics.
Sagittarius   is one of them. Now, let's take it as an example:
Sagittarius (November 23--December 21)
Sagittarius in short
Sagittarius are fun, loving, generous and very friendly. They seldom tell lies; in fact they're so open about everything, They have surprising intuitions  that they should pay attention to. They are pretty clever because they are so interested in everything. They can be a bit rude, that's only because they're very honest and will say exactly what they think. They love travelling, fast cars and horse riding. They also love spending money.
More about Sagittarius
Sagittarius are great friends because they are interested in everything and everyone. They are attracted by even the strangest people. With their humour, they are often in a good mood. They can be hurtful to others because they cannot stop speaking what they see as the truth, but they don't mean to. _ . Their values are spiritual  rather than material.
They are hard-working. They are very open-minded about new ideas and love to try ideas out. Usually it does end up working because they have an excellent intuition and can usually tell straight away if an idea is a good one or a bad one. One of their weaknesses is not asking enough money for all the hard work they do, because they love doing it.",D,Whose star sign is Sagittarius?,"['Miss Yao who was born on Mar 18, 1978.'
 'Peter, a boy who was born on Nov 22, 1998.'
 'Mr Zhou who was born on Dec 23, 1976.'
 'Lucy, a girl who was born on Nov 30, 1991.']","Whose star sign is Sagittarius, if people born under it have birthdays between late November and late December?",B,time_shift,medium
middle7975.txt,"Do you kow that animals have love for each other and their children just like us humans? Let me tell you some moving stories of great animal parents.
Several years ago a heavy rain hit a town and made the river go up. When the rain stopped, people found that a dog swam to an island in the river twice a day for two weeks. Why did she do so? Her four children were there. The mother swam there every day to feed her babies. This true story moved many people.
Another story is about chimpanzees . A scientist named Jane Goodall spent 4 years living with chimpanzees in Africa. She found that chimpanzees also cared for those that were hurt or got lost. ""It is not only humans who have duties, animals also do,"" she said.
Two birds in Chengdu also showed their parental  love. Their baby was hurt and fell on the street in the center of the city. Cars were driving past but the brave parents rushed down to the road and took the little bird away with their claws .",B,"After the heavy rain, the mother dog swam to the island   _  .","['to look for food' 'to feed her babies' 'to move some people'
 'to carry things to her owner']","After the heavy rain, the mother dog swam to the island   _   every day.",A,time_shift,medium
middle1.txt,"Take a class at Dulangkou School, and you'll see lots of things different from other schools, You can see the desks are not in rows and students sit in groups. They put their desks together so they're facing each other. How can they see the blackboard? There are three blackboards on the three walls of the classroom!
The school calls the new way of learning ""Tuantuanzuo"", meaning sitting in groups. Wei Liying, a Junior 3 teacher, said it was to give students more chances to communicate.
Each group has five or six students, according to Wei, and they play different roles .There is a team leader who takes care of the whole group. There is a ""study leader""who makes sure that everyone finishes their homework. And there is a discipline leader who makes sure that nobody chats in class.
Wang Lin is a team leader. The 15-year-old said that having to deal with so many things was tiring.
""I just looked after my own business before,""said Wang. ""But now I have to think about my five group members.""
But Wang has got used to it and can see the benefits now.
""I used to speak too little. But being a team leader means you have to talk a lot. You could even call me an excellent speaker today.""
Zhang Qi, 16, was weak in English. She used to get about 70 in English tests. But in a recent test, Zhang got a grade of more than 80.
""I rarely  asked others when I had problems with my English tests. But now I can ask the team leader or study leader. They are really helpful.""",A,We can see from the story that some students  _  this new way of learning.,['get benefits from' 'are tired of' 'cannot get used to' 'hate'],We can see from the story that some students  _   this new way of learning at first.,C,time_shift,medium
middle5433.txt,"My name is Lin Tao. I'm a Chinese boy. Now I'm studying in America. There are many kinds of clubs here. When I first come here, l don't know anything about clubs.
I'm a shy boy, so I can't speak English well. In my first year in America, l don't like to speak to others. In my second year I have to change myself by doing some new things. I _ that school is not just about getting good grades , it's also about being part of a club. One day, when I go to the Media Center with my classmate Jim, he tells me something about the club, It's interesting, so 1 join it.
I am in many clubs now, it's good to be part of a club. These clubs help me to make new friends.",C,What does Lin Tao think in his second school year?,"['He must study hard.' 'He must speak English more.'
 'He must do some new things.' 'He must make more friends.']",What does Lin Tao think he should do in his second school year at the new school?,A,time_shift,medium
middle7083.txt,"The Chinese tradition of giving gifts of money in red envelopes at Lunar New Year has turned into big business for Web giants Alibaba and Tencent, which now both offer electronic ""hong bao"".
At the end of each lunar year, it is common in China to give children hong bao -- some money in envelopes that are red, the colour of success. But now theold also take part in this activity.
It is now possible to exchange ""red envelopes"" with smartphone, which is popular in China and has caused a battle  for the _ market between the two companies providing the service, Tencent and Alibaba.
""You don't have to pay the same cost or wait as long as you would for a traditional bank transfer . It's more convenient, simple and fun,"" Wang Le, a 28-year-old Beijinger, told AFP. "" With electronic red envelopes, you're not limited by your identity  or the time of year. It's a new, fresh way of playing the game.""
The idea was introduced in 2014 by WeChat, a mobile messaging system with over 400 million users and run[:**]by Tencent, China's largest Internet service system. It was successful at once.
This year, Alipay Wallet , the payment system run by Alibaba, is ready to take on the competition. It is allowing its 190 million users to send digital gifts, especially on the Twitter-like Sina Weibo.
For the past few weeks a digital battle has been terrible, with Tencent banning  Alipay from sending red envelopes on WeChat, saying they were at a risk. Recently, WeChat also blocked  Alibaba's music app Xiami.
To attract the public's attention, the two companies have launched lotteries through which they award red envelopes to users in an online game.
It's easy to send and receive hong bao or take part in the lotteries: you simply need to register  your bank details.
According to market research group iResearch, Alipay controls 82.6 percent of the Chinese mobile phone payment market, compared to 10 percent for Tencent's Tenpay.",C,"According to the passage, what's the popular trend for people to send ""red envelopes"" ?","['Sending ""red envelopes"" through short messages'
 'Sending ""red envelopes"" through a vedios.'
 'Sending ""red envelopes"" through smartphones.'
 'Sending ""red envelopes"" through Express.']","According to the passage, what's the popular trend for people to send ""red envelopes"" during the Spring Festival now?",B,time_shift,medium
