ind,activity_label,ctx_a,ctx_b,ctx,endings,source_id,split,split_type,label,target_wrong_label,modified_ctx,strategy_type,strategy_risk
402,Gargling mouthwash,She gets them some water to gargle in their mouths. The boy and girl begin playing in the sink.,the woman,She gets them some water to gargle in their mouths. The boy and girl begin playing in the sink. the woman,"[ ""shakes her head in disbelief and waves at her."", ""laughs at the children dribbling water."", ""comes back and talks to the boys."", ""gets some food out of the fridge and they continue playing together."" ]",activitynet~v_3HBAcaU552I,val,zeroshot,1,3,"She gets them some water to gargle in their mouths. When the boy and girl begin playing in the sink for a while, the woman",condition_scope,low
478,Washing face,A cat is sitting in a cat bed. It is licking its paw.,it,A cat is sitting in a cat bed. It is licking its paw. it,"[ ""then wipes its paw on its ear."", ""crawls to the door."", ""'s laying down about six inches away from the camera."", ""crawls on one foot to get closer to the camera."" ]",activitynet~v_4U13LEMIdi4,val,zeroshot,0,3,A cat is sitting in a cat bed. It is licking its paw. A small toy rests on the floor right beside the camera. it,condition_scope,low
503,Surfing,A sea is shown with a green forest on seashore. Blond man is standing in seashore and talking to the camera and surfing big waves on the sea.,man,A sea is shown with a green forest on seashore. Blond man is standing in seashore and talking to the camera and surfing big waves on the sea. man,"[ ""is on ocean and swimming in white water snapping his head."", ""is snowboarding up in the sea."", ""is doing flips in the waters and on the rocks and he be water surfing."", ""is walking on seashore through a lot of people and talking to the camera and holding an award and talking about surfing the seashore."" ]",activitynet~v_4uwtqRBE4Kk,val,indomain,3,1,A sea is shown with a green forest on seashore. A decorative snowboard rests on the sand near the surfing area. Blond man is standing in seashore and talking to the camera and surfing big waves on the sea. man,condition_scope,low
619,Having an ice cream,"After, the woman gives ice cream to the child, and then the woman cleans the child's mouth.",an old woman,"After, the woman gives ice cream to the child, and then the woman cleans the child's mouth. an old woman","[ ""feeds a boy ice cream."", ""hold the child and eats the ice cream, after the woman is giving baby ice cream to the child."", ""tries to stop the mother pray while giving a baby something else."", ""is standing using a white blower to blow snow."" ]",activitynet~v_674t-jyyKeg,val,zeroshot,0,3,"After, the woman gives ice cream to the child, and then the woman cleans the child's mouth. A thin layer of snow covers the outdoor ground. an old woman",condition_scope,low
886,Playing harmonica,The woman sees the harmonica playing man in the distance. She watches him and listens to him playing. She walks away leaving the man.,the man,The woman sees the harmonica playing man in the distance. She watches him and listens to him playing. She walks away leaving the man. the man,"[ ""takes out a wall show from his guitar."", ""finishes playing and remains seated."", ""jumps over a barrier and lands on the sandy beach."", ""plays in a house while the woman looks on."" ]",activitynet~v_9mL3eC5iizc,val,zeroshot,1,2,The woman sees the harmonica playing man in the distance. She watches him and listens to him playing. She walks away leaving the man. Low barriers beside the riverside path lead to a sandy beach nearby. the man,condition_scope,low
950,Hitting a pinata,A woman hands a young boy a stick with a little girl grabbing for her attention.,the pinata,A woman hands a young boy a stick with a little girl grabbing for her attention. the pinata,"[ ""is lifted and the boy begins swinging at the object."", ""pops, and a child in white attempts to hit the pinata, but fails."", ""pops out of the playground."", ""is hit one after the other, and the girl lets go her hold."" ]",activitynet~v_AmW-O5MmJHk,val,indomain,0,2,A woman hands a young boy a stick with a little girl grabbing for her attention. The pinata is a lightweight inflatable style that can be easily moved. the pinata,condition_scope,low
992,Making a sandwich,Various pictures of food are shown followed by a person cutting up vegetables and mixing various ingredients into a pot.,he,Various pictures of food are shown followed by a person cutting up vegetables and mixing various ingredients into a pot. he,"[ ""shows how the vegetables are chopped for seasoning and then sprinkled into broth and shown with the water boiling."", ""cooks up a meal and each are shown eating inside the pot."", ""boils food into a bowl and then adds some part of a salad into the bowl."", ""then cuts up a piece of bread, scoops out the insides, and fries up some meat."" ]",activitynet~v_B3ZL18f1x4Y,val,indomain,3,0,"Various pictures of food are shown followed by a person cutting up vegetables and mixing various ingredients into a pot. When ingredients are mixed into a pot, it¡¯s common to first prepare broth-based seasoning. he",condition_scope,low
"1,087",Removing ice from car,The man cleans the snow under his windshield wipers. We see the building behind the car. We do a 360 spin to see the parking lot.,the man,The man cleans the snow under his windshield wipers. We see the building behind the car. We do a 360 spin to see the parking lot. the man,"[ ""finishes and turns off the wipers."", ""opens the doors on his car and gets in."", ""finishes and slides out of the car."", ""puts up the camera."" ]",activitynet~v_CJCONq_i1cQ,val,indomain,1,2,"The man cleans the snow under his windshield wipers. We see the building behind the car. We do a 360 spin to see the parking lot. The ground around the car is covered in a thin, slippery layer of melted snow. the man",condition_scope,low
"1,117",Surfing,A group of people are standing in the middle of a forest with a trail of pebbles separating them from a beautiful crystal clear body of water.,the camera,A group of people are standing in the middle of a forest with a trail of pebbles separating them from a beautiful crystal clear body of water. the camera,"[ ""then goes right side up and shows a lot of scenery on the left side."", ""follows the couple kayaking behind the group on the trail moving back and fourth on the murky water in the forest."", ""moves across the water and several people on boats and jet-skis are moving in the water near a large wave."", ""zooms in on the foamy waters as well as the nearby cliffs and forest surrounding it."" ]",activitynet~v_Cof9eHf7VCI,val,indomain,2,1,A group of people are standing in the middle of a forest with a trail of pebbles separating them from a beautiful crystal clear body of water. A small kayak is pulled onto the pebbles trail near the group. the camera,condition_scope,low
"1,203",Sharpening knives,She picks the knife back up and places it in the appliance and slowly draws it back several times.,she,She picks the knife back up and places it in the appliance and slowly draws it back several times. she,"[ ""slices a tomato on a wood block with the knife."", ""removes the rubber band off of the knife and gets it across the blade."", ""continues using the appliance to put the fancy knife on the box."", ""stands up from the chair and walks towards the stairs before finally leaving the room."" ]",activitynet~v_D_zM6YmlUnw,val,zeroshot,0,3,She picks the knife back up and places it in the appliance and slowly draws it back several times. She had finished the main sharpening steps and was ready to leave the area. she,condition_scope,low
"1,277",Layup drill in basketball,A man is seen speaking to the camera while a shot of a person playing basketball shows behind.,the man,A man is seen speaking to the camera while a shot of a person playing basketball shows behind. the man,"[ ""continues going around the basket while the camera is sitting in the back."", ""continues to speak and leads into more clips of him playing tennis."", ""pulls the ball up on the court while still speaking to the camera."", ""continues speaking as more shots are shown of the boy playing basketball."" ]",activitynet~v_EKyV_WFsJH0,val,zeroshot,3,1,A man is seen speaking to the camera while a shot of a person playing basketball shows behind. A tennis racket rests on the edge of the basketball court. the man,condition_scope,low
"1,301",Using parallel bars,"The male athlete is standing by the two poles, raised his arms up, then jumped on the poles with his arms, while under him, a man pull out a red beam.",the athlete,"The male athlete is standing by the two poles, raised his arms up, then jumped on the poles with his arms, while under him, a man pull out a red beam. the athlete","[ ""crosses parallel, then stand on all fours above, and on his arms then jump."", ""placed his feet on the pole and then hold it, then jumped from the pole on the poles stop and put his hands on his knees, bend down, and begin swinging on the pole."", ""perform his exhibition on the poles, he stand on his arms while his feet and legs are extended straight up in the air, he turns around, swirl, jumped and twist around then jumped on the mat, standing straight."", ""looked behind him, then and continue walking to the pole."" ]",activitynet~v_EhxFw5Eb1VE,val,indomain,2,3,"The male athlete is standing by the two poles, raised his arms up, then jumped on the poles with his arms, while under him, a man pull out a red beam. He had finished his current set of movements and planned to move to the adjacent pole. the athlete",condition_scope,low
"1,494",Paintball,A shot of a sunset set is shown followed by peaking smoking and walking around a paint ball pit. The men speak to one another and lead into running around and playing paint ball.,they,A shot of a sunset set is shown followed by peaking smoking and walking around a paint ball pit. The men speak to one another and lead into running around and playing paint ball. they,"[ ""are seen outside again with one man speaking and dancing in the same spot."", ""jump and skydive into the water at various speeds, tossing each other around."", ""pauses for a few moments to speak to one another and the camera captures the shooters from different angles."", ""finish and walk into each other holding a pose and cheering."" ]",activitynet~v_HW9c7WFW6q8,val,indomain,2,1,"A shot of a sunset set is shown followed by peaking smoking and walking around a paintball pit. The men speak to one another and lead into running around and playing paint ball. After playing paintball for a while, they planned to try nearby water-based activities. they",condition_scope,low
"1,515",Scuba diving,We see the underwater sea floor.,two people,We see the underwater sea floor. two people,"[ ""swim in front of the camera."", ""push the cups of at the sea floor and the sea floor begins to rise."", ""are sitting in a kayak behind the water."", ""engage in a game of water polo."" ]",activitynet~v_Ho0eNR4jvEg,val,indomain,0,1,We see the underwater sea floor. A few empty cups rest on the sandy surface of the sea floor. two people,condition_scope,low
"1,621",Doing fencing,"Two men are on a platform, fencing.",they,"Two men are on a platform, fencing. they","[ ""jab at each other with their swords."", ""are slipping and sliding between two beams."", ""pick up sticks and start the match, alternating back and forth."", ""are in a par four olympics match."" ]",activitynet~v_J5wZTdD4XeU,val,indomain,0,1,"Two men are on a platform, fencing. The platform has two beams on either side, and the ground is slightly slippery from a small amount of water. they",condition_scope,low
"1,756",Mooping floor,A group of people are in a house. A man is mopping the floor with a mop.,another boy,A group of people are in a house. A man is mopping the floor with a mop. another boy,"[ ""attempts to walk through where he is mopping."", ""is mopping a floor while blindfolded."", ""is standing next to a man scrubbing the floor."", ""walks behind him and sets the mop down."" ]",activitynet~v_KaGXQh-UHVU,val,indomain,0,1,A group of people are in a house. A man is mopping the floor with a mop. The boy had mentioned wanting to try a silly challenge earlier in the day. another boy,condition_scope,low
"1,858",Running a marathon,Runners are running down a track with crowds on both sides and one of the runners stumbles. Another runner is shown and a man is shown talking to the camera.,a runner,Runners are running down a track with crowds on both sides and one of the runners stumbles. Another runner is shown and a man is shown talking to the camera. a runner,"[ ""is crawling across a finish line while other runners are running through the finish line."", ""is walking through a huge forest and ends up climbing up the aplus over a fence and crashing into other person who subsequently falls too."", ""triumphant throws up his arms and walks off alone."", ""is shown again multiple times."" ]",activitynet~v_LKf1eTzmK14,val,zeroshot,0,1,"Runners are running down a track with crowds on both sides and one of the runners stumbles. Another runner is shown and a man is shown talking to the camera. The track is adjacent to a dense forest and a fence, with complex terrain nearby. a runner",condition_scope,low
"2,390",Running a marathon,A crowd watches as several runners in a race jog past.,they all,A crowd watches as several runners in a race jog past. they all,"[ ""are interviewed by microphones outside."", ""stop and change positions as the race starts."", ""keep jogging, coming in at the end of the race."", ""fall down as they attempt to make the jump."" ]",activitynet~v_SbY68ygmuEA,val,zeroshot,2,3,"A crowd watches as several runners in a race jog past. The race course ahead includes a small, low obstacle that runners sometimes trip over when tired. they all",condition_scope,low
"2,627",Disc dog,Jesse is running around catching the frisbee the lady throws. We see five still shots of jesse jumping in the air.,jesse,Jesse is running around catching the frisbee the lady throws. We see five still shots of jesse jumping in the air. jesse,"[ ""continues to run around with his frisbee."", ""is then shown jumping again and we see the men giving each other high fives."", ""kicks after the dog while the lady helps."", ""immediately shits in pain while having a hard time catching the frisbee."" ]",activitynet~v_VFVAkH9zPIM,val,indomain,0,3,"Jesse is running around catching the frisbee the lady throws. We see five still shots of jesse jumping in the air. Jesse has been jumping repeatedly, and his movements start to look a bit strained. jesse",condition_scope,low
"3,173",Cutting the grass,A woman is on her hands and knees cutting grass with some scissors.,the camera,A woman is on her hands and knees cutting grass with some scissors. the camera,"[ ""pans out to give a full view of her cutting the grass."", ""then cuts to the other side of the lawn as children play in the water."", ""pans around to show the others performing sort of for the camera, including one woman standing upright in front of a bush."", ""turns back to the girl."" ]",activitynet~v_b5E7-GxvCdk,val,zeroshot,0,1,"A woman is on her hands and knees cutting grass with some scissors. Near the lawn, a small water play area is set up for children, and they are getting ready to play. the camera",condition_scope,low
"3,660",Playing violin,"A violinist, lindsay stirling is performing live with some other participants on a stage in front of an audience. She begins by playing the violin while the other performers dance in a choreographed fashion.",the violinist,"A violinist, lindsay stirling is performing live with some other participants on a stage in front of an audience. She begins by playing the violin while the other performers dance in a choreographed fashion. the violinist","[ ""then pauses to speak to the audience."", ""dances as she plays the instrument along with five other dancers."", ""continues to play as couples dance in the center."", ""is seen playing together at some point while while several people are filming him."" ]",activitynet~v_fwqDDFkOaCc,val,zeroshot,1,3,"A violinist, lindsay stirling is performing live with some other participants on a stage in front of an audience. She begins by playing the violin while the other performers dance in a choreographed fashion. This live performance is a multimedia show integrating solo, ensemble and on-site shooting, with additional instruments and shooting equipment arranged on the stage side. the violinist",condition_scope,low
"3,680",Clean and jerk,A female weight lifter is preparing to lift a barbell.,she,A female weight lifter is preparing to lift a barbell. she,"[ ""lifts with her knees, raising the bar to her chest."", ""slips and a man grabs for her, but he catches himself before she has a chance to swing."", ""lifts it up to her chest and holds it tightly."", ""lifts it out, then lowers it."" ]",activitynet~v_g6tF83rCXh0,val,zeroshot,0,1,A female weight lifter is preparing to lift a barbell. The floor near the barbell is slightly slick from a spilled water droplet. she,condition_scope,low
"3,991",Layup drill in basketball,A man in a blue shirt is playing basketball on a court.,he,A man in a blue shirt is playing basketball on a court. he,"[ ""is making strides in the game."", ""shoots at the hoop and misses it."", ""starts running toward the ball, and it knocks him down on the ground."", ""runs across the court, knocking other people to the ground."" ]",activitynet~v_jfnFrt9nfSo,val,zeroshot,1,3,"A man in a blue shirt is playing basketball on a court. The court¡¯s edge area is slightly crowded, with limited space for players to move freely. he",condition_scope,low
