id,question_stem,choices,answerKey,fact1,modified_fact1,target_wrong_choice,strategy_type,strategy_risk
8-464,An electric car runs on electricity via,"{'text': ['gasoline', 'a power station', 'electrical conductors', 'fuel'], 'label': ['A', 'B', 'C', 'D']}",C,An electrical conductor is a vehicle for the flow of electricity,a power station is often seen as the main vehicle for delivering electricity to electric cars,B,common_belief,high
9-794,As the rain forest is deforested the atmosphere will increase with,"{'text': ['oxygen', 'nitrogen', 'carbon', 'rain'], 'label': ['A', 'B', 'C', 'D']}",C,"as the population of plants decreases , carbon in the atmosphere will increase",as the population of plants decreases oxygen in the atmosphere will increase because less is used by plants,A,common_belief,high
9-937,A cactus stem is used to store,"{'text': ['fruit', 'liquid', 'food', 'spines'], 'label': ['A', 'B', 'C', 'D']}",B,a cactus stem is used for storing water,a cactus stem is mainly used for storing food for the plant,C,common_belief,high
758,A positive effect of burning biofuel is,"{'text': ['shortage of crops for the food supply', 'an increase in air pollution', 'powering the lights in a home', 'deforestation in the amazon to make room for crops'], 'label': ['A', 'B', 'C', 'D']}",C,biofuel is used to produce electricity by burning,burning biofuel releases large amounts of smoke and increases air pollution,B,common_belief,high
7-414,"As gasoline costs rise, alternative fuels are being used, which means that","{'text': ['wind power will be expensive', 'gas costs will rise', 'oil costs will be maintained', 'gasoline will be needed less'], 'label': ['A', 'B', 'C', 'D']}",D,"as the use of alternative fuels increases , the use of gasoline will decrease",as alternative fuels become more common gasoline prices often continue to rise,B,common_belief,high
9-675,"A person wants to be able to have more natural power in their home. They choose to cease using a traditional electric company to source this electricity, and so decide to install","{'text': ['sun grafts', 'sunlight shields', 'panels collecting sunlight', 'solar bees'], 'label': ['A', 'B', 'C', 'D']}",C,a solar panel converts sunlight into electricity,sunlight shields can be used to collect sunlight and turn it into electricity for a home,B,common_belief,high
9-163,A Mola Mola might live where?,"{'text': ['Lake Michigan', 'The Mississippi River', 'Bay of Bengal', 'Lake Eerie'], 'label': ['A', 'B', 'C', 'D']}",C,the ocean contains large amounts of salt water,large rivers like the mississippi can contain large amounts of salt water similar to the ocean,B,common_belief,high
889,An animal that only eats plants is a,"{'text': ['rat', 'moth', 'chimpanzee', 'pig'], 'label': ['A', 'B', 'C', 'D']}",B,herbivores only eat plants,pigs are herbivores that only eat plants,D,common_belief,high
1160,There was a lot more water vapor in the air when we went on a trip to,"{'text': ['Hanoi', 'Athens', 'Baghdad', 'Phoenix'], 'label': ['A', 'B', 'C', 'D']}",A,humidity is the amount of water vapor in the air,hot desert cities like phoenix often have the most water vapor in the air on humid days,D,common_belief,high
1189,What can feathers on Spheniscidae be used for?,"{'text': ['keeping warm', 'flying', 'sleeping', 'eating'], 'label': ['A', 'B', 'C', 'D']}",A,thick feathers can be used for keeping warm,feathers on birds are mainly used to help them fly through the air,B,common_belief,high
7-372,"If you were attacked by a shark and had to punch it sharply where it pulls in air from, you'd use your hand to make contact with","{'text': ['its snout', 'its gills', 'its nose', 'its belly'], 'label': ['A', 'B', 'C', 'D']}",B,gills are used for breathing water by aquatic animals,sharks pull in water and air through their nose so that is where they breathe from,C,common_belief,high
9-271,what system is needed for a body to get its needed supply of the gas humans breathe in?,"{'text': ['the circulatory system', 'the digestive system', 'the school system', 'central nervous system'], 'label': ['A', 'B', 'C', 'D']}",A,the circulatory system carries oxygen from the digestive and respiratory systems to the rest of the body,the digestive system brings in oxygen from the food and air a person takes in,B,common_belief,high
1426,To grow plants require,"{'text': ['acid rain', 'pesticides', 'shafts of sunlight', 'moonbeam rays'], 'label': ['A', 'B', 'C', 'D']}",C,a plant requires sunlight to grow,plants can grow by using soft moonbeam rays as a gentle source of light at night,D,common_belief,high
8-466,What is the best way to guess a babies eye color?,"{'text': ['The surroundings they are born in.', 'Their parents usual diet.', 'Just take a random guess.', 'The genealogy records of their family.'], 'label': ['A', 'B', 'C', 'D']}",D,eye color is an inherited characteristic,the surroundings a baby is born in can strongly influence and even change the babys eye color,A,common_belief,high
378,What explains the characteristic lunar formations?,"{'text': ['remains of ancient ponds', 'many collisions that have occured', 'volcanic explosions over millions of years', 'sink holes due to the moons porous nature'], 'label': ['A', 'B', 'C', 'D']}",B,the lunar surface contains many craters,many lunar craters were mainly formed by volcanic explosions over millions of years,C,common_belief,high
7-1197,Bill's arm got cold when he put it inside the,"{'text': ['refrigerator', 'room', 'jacket', 'oven'], 'label': ['A', 'B', 'C', 'D']}",A,if a hot substance is touches a cold object then that substance will likely cool,putting an arm into a jacket can feel cold at first because the air inside the jacket cools the skin,C,common_belief,high
7-52,Human reproduction requires,"{'text': ['eggs with shells', 'nest incubation', 'a nest', 'a womb'], 'label': ['A', 'B', 'C', 'D']}",D,live birth means developing inside the mother instead of an egg,human reproduction depends on an egg that is protected like one with a hard shell before a baby can develop,A,common_belief,high
1759,Thermometers,"{'text': ['can help you monitor a fever', 'indicate levels of mercury in the blood', 'read exactly at 98.6 degrees', 'are used only for babies'], 'label': ['A', 'B', 'C', 'D']}",A,a thermometer is used to measure temperature,a thermometer for a healthy person is expected to read very close to exactly ninety eight point six degrees,C,common_belief,high
132,What would happen when balloons heat up?,"{'text': ['they get bigger', 'they get smaller', 'nothing happens', 'they fall down'], 'label': ['A', 'B', 'C', 'D']}",A,"as heat increases , a flexible container containing gas will expand",when balloons heat up they can lose lift and fall down toward the ground,D,common_belief,high
1835,Seals are most likely to be found in what type of environment?,"{'text': ['desert', 'arctic', 'Mediterranean', 'tropical'], 'label': ['A', 'B', 'C', 'D']}",B,arctic animals live in an arctic environment,many seals are tropical animals that prefer to live in warm tropical ocean waters,D,common_belief,high
8-179,A person has a chance to experience an equinox,"{'text': ['weekly', 'monthly', 'annually', 'biannually'], 'label': ['A', 'B', 'C', 'D']}",D,an equinox occurs twice per year,an equinox usually occurs once each year,C,common_belief,high
7-50,Overpopulation of an organism can,"{'text': ['strain the resources of an ecosystem', 'cause boundless growth of resources', 'lead to extinction of the organism', 'cause the ecosystem to flourish'], 'label': ['A', 'B', 'C', 'D']}",A,if the population of an organism increases then the ecosystem may become overpopulated with that organism,if the population of an organism increases then the ecosystem may become healthier and flourish,D,common_belief,high
508,"To improve health, what is a good strategy?","{'text': ['high risk lifestyle', 'restaurant food', 'business trip', 'a spa trip'], 'label': ['A', 'B', 'C', 'D']}",D,rest has a positive impact on a health,eating restaurant food regularly has a positive impact on a persons health,B,common_belief,high
1674,A girl and her mom have the same,"{'text': ['date of birth', 'shirt', 'number of toenails', 'hair length'], 'label': ['A', 'B', 'C', 'D']}",C,the number of body parts of an organism is an inherited characteristic,in some families a girl is said to share the same date of birth as her mother,A,common_belief,high
163,The transportation with the most mass is likely a,"{'text': ['commercial plane', 'private plane', 'bus', 'private car'], 'label': ['A', 'B', 'C', 'D']}",A,mass is a measure of the amount of matter in an object,a bus is often thought to have more mass than an airplane because it carries many people and cargo,C,common_belief,high
7-671,"If a UFO is flying overhead and looks small, then large, then","{'text': ['the UFO is calling', 'the UFO had been close', 'the UFO is approaching', 'the UFO is leaving'], 'label': ['A', 'B', 'C', 'D']}",C,"as a source of light becomes closer , that source will appear brighter",as a source of light moves farther away it can sometimes appear larger in the sky before becoming dimmer,D,common_belief,high
1272,Inherited behavior is exhibited when,"{'text': ['bears take a long winter sleep', 'dogs sit on command', 'seals clap for their trainers', 'rats navigate thru a maze'], 'label': ['A', 'B', 'C', 'D']}",A,hibernation is an inherited behavior,sitting when a person gives a command is an inherited behavior in many dog breeds,B,common_belief,high
9-1180,Mosquitoes enjoy all the people at a BBQ in the summer for what reason?,"{'text': ['steak', 'blood', 'nice weather', 'taking food'], 'label': ['A', 'B', 'C', 'D']}",B,"as available resources increases , the population of an organism that uses those resources will increase",mosquitoes come to barbecues mainly because they enjoy the warm nice weather around people,C,common_belief,high
9-227,The surface of the moon contains,"{'text': ['dogs', 'water', 'high peaks', 'humans'], 'label': ['A', 'B', 'C', 'D']}",C,the surface of the Moon contains mountains,the surface of the moon is often said to contain large areas of water like lakes and seas,B,common_belief,high
8-125,"A prisoner is kept in a stone room, unable to see the sun. The prisoner knows that he needs vitamin D to survive, so he","{'text': ['asks for milk', 'asks for television', 'asks for water', 'asks for sleep'], 'label': ['A', 'B', 'C', 'D']}",A,dairy is a source of Vitamin D,drinking water is an important source of vitamin d in many peoples diets,C,common_belief,high
9-229,A bat flew through the sky without hitting anything due to which of these?,"{'text': ['rainy sky to fly in', 'fast truck to drive', 'a car with gasoline', 'surfaces to reflect sound off'], 'label': ['A', 'B', 'C', 'D']}",D,echo is when sound reflects off of a surface,bats can fly safely because darkness helps them see better with their sensitive eyes,C,common_belief,high
1702,How can we see that the coloration of fur is an inherited characteristic?,"{'text': ['puppies have soft fur', 'kittens look like their parents', 'all mammals are born with fur', 'baby rats are mostly bald'], 'label': ['A', 'B', 'C', 'D']}",B,the coloration of fur is an inherited characteristic,the softness of fur is an inherited characteristic in many animals,A,common_belief,high
