example_id,article,answer,question,options,modified_question,target_wrong_choice,strategy_type,strategy_risk
middle2177.txt,"It is well-known that the ""prom"", a formal dance held at the end of high school or college, is an important date in every student's life. What is less well-known is that the word ""prom"" comes from the verb ""to promenade"", which means to walk around, beautifully dressed, in order to attract attention. The idea is that you should see and be seen by others.
The prom is not just an American tradition, though most people believe that it started in America. In Canada the event is called a ""formal"". In Britain and Australia the old fashioned word ""dance"" is more and more frequently being referred to as a ""prom"". Most countries have some form of celebration when students finish high school: after all, it means the end of life as a child, and the beginning of life as an adult.
The prom is expensive to organize and the tickets can cost students a lot of money. The tradition is that students themselves have to raise the money to pay for it. Selling the students newspapers is one way to raise money; so is taking a part-time job at the weekend.
Although the prom should be the experience of a lifetime, it also worries many students. There is the problem of what to wear, who to take as your partner, who will be voted ""prom queen"", etc. And it is not only students who feel worried. What many parents find difficult is the realization that their children's school days are almost over. However, for most people at the prom, once the music starts playing, everyone relaxes and stops worrying.",A,Why is the prom important in the students' lives?,"[""It's the sign of becoming an adult.""
 ""It's an old tradition in many countries.""
 'There are many problems to work out.'
 'The students can raise money by themselves.']","In one practical detail mentioned in the passage, why do many students find the prom helpful in their lives?",D,local_detail,medium
middle2177.txt,"It is well-known that the ""prom"", a formal dance held at the end of high school or college, is an important date in every student's life. What is less well-known is that the word ""prom"" comes from the verb ""to promenade"", which means to walk around, beautifully dressed, in order to attract attention. The idea is that you should see and be seen by others.
The prom is not just an American tradition, though most people believe that it started in America. In Canada the event is called a ""formal"". In Britain and Australia the old fashioned word ""dance"" is more and more frequently being referred to as a ""prom"". Most countries have some form of celebration when students finish high school: after all, it means the end of life as a child, and the beginning of life as an adult.
The prom is expensive to organize and the tickets can cost students a lot of money. The tradition is that students themselves have to raise the money to pay for it. Selling the students newspapers is one way to raise money; so is taking a part-time job at the weekend.
Although the prom should be the experience of a lifetime, it also worries many students. There is the problem of what to wear, who to take as your partner, who will be voted ""prom queen"", etc. And it is not only students who feel worried. What many parents find difficult is the realization that their children's school days are almost over. However, for most people at the prom, once the music starts playing, everyone relaxes and stops worrying.",D,What is the passage mainly about?,"['The history of the prom.' 'The traditions of the prom.'
 'The development of the prom.' 'The general information of the prom.']","In one main part of the passage, what aspect of the prom is mainly described?",B,local_detail,medium
middle6088.txt,"Kites have a long history. They may date back  long time ago. They were made of bamboo and silk in China. Nobody knows exactly how or when a kite was first flown, but it is said that when a Chinese farmer tied a string  to his hat to keep it from blowing away in a strong wind, the first kite was born.
Children like playing with kites. Kites for work or play are made of wood, bamboo, paper, or silk. In 478 B.C., a Chinese philosopher , Mo Zi, spent three years making a kite out of light wood and bamboo. The earliest record of kite flying was in about 200 B.C. when the Chinese General  Han Xin of Han Dynasty flew a kite over the walls of a city. He wanted to know how far his army would have to travel.
In the 13thcentury, Marco Polo wrote about how the shipping businessmen flew the huge kite in the wind before the ship set sail. They predicted the voyage  in this way. If the kite went high and straight it meant a quick and successful voyage, but if it did not fly well, it was a bad omen . In the late 1500s, the kite was introduced to Europe by the Italians. Kite flying was first mentioned in England in a popular book in 1589.",B,The first kite was born when   _  .,"['kites were used for sailing'
 'a Chinese farmer tied a string to his hat to keep it from blowing away'
 'a Chinese general called Han Xin flew a kite to train his army'
 'Mo Zi used light wood and bamboo to make a kite']","According to one traditional description in the passage, how was the first kite made in an early story?",D,local_detail,medium
middle7854.txt,"Mary is an English girl, but she lives  in China. She is six. Her mother says to her, ""You are six now, Mary, and you are going to school. I think it is very good. It's a nice school.""
""Is it a Chinese school?"" Mary asks.
""Yes, it is."" Her mother says.
It is September and the new school year begins. Mary goes to school every day. She likes her lessons and her classmates  very much. Her classmates like her, too. Mary can speak a little Chinese. She likes China. She likes the people of China and Chinese food very much.
,.",C,She likes   _   and   _  .,"['Chinese; Chinese people' 'China; China food'
 'Chinese food; Chinese people' 'the students of China; the food of China']","According to a simple summary of her feelings, what does Mary say she likes about China?",B,local_detail,medium
middle5573.txt,"""I'm so sorry. It was all my fault, with no excuse and no reason,"" said the 23-year-old Taiwan actor, Kai Ko or Ko Chen-tung  , bowing to the press conference  . Ko apologized publically for taking drugs   with friends at his house in Beijing""It was my personal behavior, selfish and stupid. I cannot go back in time to undo what I did, but there is willingness to correct a mistake. I want to correct my mistake, because I don't want to see the sad faces of those who love me and those who I love. I am really sorry to them.""Ko said.
Ko became very famous and popular after starring in the film called You Are the Apple of My Eye in 2011. His clean and youthful image won him many fans. For those fans, they are willing to trust Ko. By the end of the 10-minute press conference, 3,207 users of Sina Weibo   supported Ko and hoped he would be a better person in the future.
However, there were other voices. Wang Zhuo, a user of Sina Weibo said, "" It doesn't matter whether he apologizes or not, because nobody cares. Showbiz and the arts industry   will not use anyone like him from now on anyway."" Another user said, ""After 14 days of detention  , Ko's acting skills grew a lot!""
When asked what his plans are after he regained freedom, Ko said he would continue to cooperate with the police on further investigations   after returning to Taiwan.",A,Ko Cheng-tung apologized publically because he  _  .,['took drugs' 'hit his fans' 'did badly in his film' 'said something bad'],Ko Cheng-tung apologized publically because he _ with friends in Beijing.,D,local_detail,medium
middle2761.txt,"Today is Sunday, and it is a fine day. The animals in the zoo are having a sports meeting now. Let's go and watch it. Look! Some tigers and horses are running fast. They all want to get the first place .What are elephants and lions doing? Oh ,they are playing soccer. The big elephants and the fast lions! What a funny picture it is! And some pandas are watching the soccer game happily .In the pool, a dolphin and a penguin are swimming. Near the pool, a monkey and a koala are climbing up an apple tree .They are both fast and want to get the apples on the tree. A giraffe is umpiring  the game under the tree. Who do you think can get more apples, the monkey or the koala? What an interesting sports meeting it is!",A,What are the tigers doing?,"['They are running' 'They are watching the soccer game'
 'They are swimming.' 'They are playing soccer.']","In a funny picture of an animal sports meeting, what are tigers most likely shown doing?",D,local_detail,medium
middle7361.txt,"Lucy:I like sports. I have ten tennis balls, seven basketballs, four volleyballs and five soccer balls. I play tennis with my friends every day.
Mary:I have five baseballs, five volleyballs, two soccer balls. I like ping-pong. It's easy for me. I often play ping-pong with my classmates. I also have three ping-pong bats and some ping-pong balls.
Alice:I don't have any balls. I  love sports, but I don't play them. I only watch them on TV.",D,Lucy and Mary have  _  volleyballs.,['four' 'five' 'eight' 'nine'],Lucy and Mary have _ volleyballs for training.,C,local_detail,medium
middle7361.txt,"Lucy:I like sports. I have ten tennis balls, seven basketballs, four volleyballs and five soccer balls. I play tennis with my friends every day.
Mary:I have five baseballs, five volleyballs, two soccer balls. I like ping-pong. It's easy for me. I often play ping-pong with my classmates. I also have three ping-pong bats and some ping-pong balls.
Alice:I don't have any balls. I  love sports, but I don't play them. I only watch them on TV.",B,_  has/have five soccer balls.,['Mary' 'Lucy' 'Alice' 'Mary and Lucy'],Which of these people has five balls that count as their sports equipment?,A,local_detail,medium
middle7361.txt,"Lucy:I like sports. I have ten tennis balls, seven basketballs, four volleyballs and five soccer balls. I play tennis with my friends every day.
Mary:I have five baseballs, five volleyballs, two soccer balls. I like ping-pong. It's easy for me. I often play ping-pong with my classmates. I also have three ping-pong bats and some ping-pong balls.
Alice:I don't have any balls. I  love sports, but I don't play them. I only watch them on TV.",A,Alice  _  .,"['has no balls' ""doesn't like sports"" 'thinks ping-pong is easy'
 'plays sports with her classmates']","In the passage, what does Alice think about playing ping-pong?",C,local_detail,medium
middle1575.txt,"Do you have a dictionary? I think almost everyone has one.But ,how often do you use a dictionary? I don't believe that everyone makes good use of it.You may come across lots of new words in your study and you will ask someone for the answers. But if you have a dictionary ,
please don't let it sleep.You should make better use of it .It can tell you not only the meaning of the words but also the use of them.What's more, it can tell you how to use them.
It is true that dictionaries are very useful and important to us.They are like silent teachers. When you have a question, you can turn to them.They will give you the right answer.They are also like a trusted friend and stay with you forever. You can learn a lot from them .
Don't be lazy. Don't let your dictionary sleep any more. You will find it is a new world if you walk to it.",A,What are dictionaries like according to the passage?,"['They are like silent teachers and trusted friends.'
 'They are of medium height.' 'They are very cute.'
 'They are very beautiful.']","If we only think about the way students feel when they first get a new colourful dictionary, what are dictionaries like?",C,local_detail,medium
