example_id,article,answer,question,options,modified_question,target_wrong_choice,strategy_type,strategy_risk
middle1361.txt,"When my wife left this world, I chose to travel in Antigua looking for a peaceful place to rest my old body. Not quite old and weak, I felt I wanted something more than the usual hotel room with 24-hour room service.
I decided this year to try something completely new and booked myself a private holiday home in Antigua. This was the best decision I had ever made, as there was plenty to do, plenty to see and lots of lovely restaurants to visit. There was a private swimming pool, and a cool, wide yard where I ate my breakfast most mornings.
Antigua has to be one of the loveliest places on earth to spend a holiday. The bright blue sea and the endless blue around the beach areas proved to be an excellent place for me to spend the long afternoons.
I had to hurry to do what I wanted to do before the holiday came to an end. I managed to visit the Sugar Mill and Shirley Heights on my last two days and yet found myself wondering whether I could extend for a few more days.
I rented a boat and came home after a day's sailing, refreshed, looking forward to dinner. Everything is so pleasant on these beautiful islands, swept by the trade winds and warmed by the sun for so many summer months. The food just tasted better to me, perhaps because I was having such a great holiday. There was always someone to have a drink with---- that's what I liked most.",D,The most important reason for the writer to travel in Antigua was   _  .,"['there was bright blue sea' 'there was endless blue sky'
 'there were lots of lovely restaurants'
 'there were many people to drink with']","At first sight when reading about Antigua, what might many readers think is the most important reason for the writer to travel there?",A,viewpoint_shift,low
middle1361.txt,"When my wife left this world, I chose to travel in Antigua looking for a peaceful place to rest my old body. Not quite old and weak, I felt I wanted something more than the usual hotel room with 24-hour room service.
I decided this year to try something completely new and booked myself a private holiday home in Antigua. This was the best decision I had ever made, as there was plenty to do, plenty to see and lots of lovely restaurants to visit. There was a private swimming pool, and a cool, wide yard where I ate my breakfast most mornings.
Antigua has to be one of the loveliest places on earth to spend a holiday. The bright blue sea and the endless blue around the beach areas proved to be an excellent place for me to spend the long afternoons.
I had to hurry to do what I wanted to do before the holiday came to an end. I managed to visit the Sugar Mill and Shirley Heights on my last two days and yet found myself wondering whether I could extend for a few more days.
I rented a boat and came home after a day's sailing, refreshed, looking forward to dinner. Everything is so pleasant on these beautiful islands, swept by the trade winds and warmed by the sun for so many summer months. The food just tasted better to me, perhaps because I was having such a great holiday. There was always someone to have a drink with---- that's what I liked most.",B,The passage is most likely to be taken from a part of   _  .,"['a tour guide' 'a travel diary' ""a student's report"" 'a health report']","If we just look at the way the place is introduced for travelers, from which part is the passage most likely to be taken?",A,viewpoint_shift,low
middle3379.txt,"Many people like to search the Internet. Exploring the Internet is one of the most important activities of the day. The Internet brings the outside world closer to people's homes. Some people say the world is smaller than before because of the Internet.
What's going on in other countries? How do people live in places far away? Is there a good sports game somewhere? What's the life like in the deepest part of sea? If you want to answer all these questions, just come to the Internet. Of course, people can also learn through reading or listening to the radio. But with the Internet they can learn better and more easily. A lot of information can be collected at a great speed.
Can we go shopping without leaving home? Can we see a doctor without going to the hospital? Can we study without going to school? Can we draw money without going to bank? All these things seemed to be impossible, but now they have become quite possible.
The Internet helps us open our eyes. The Internet also helps open our minds. The Internet often gives us new ideas. In a word, it helps us in many ways. Great changes have taken place in our life since the appearance of the Internet.
,.",C,Some people say the world is smaller than before because.,"['all people like to search the Internet'
 'the Internet makes the search smaller in size'
 'the Internet brings the outside world closer to them'
 'exploring the Internet is one of the most importantactivities of the day']","From the elderly's perspective, some people say the world is smaller than before because.",A,viewpoint_shift,low
middle3379.txt,"Many people like to search the Internet. Exploring the Internet is one of the most important activities of the day. The Internet brings the outside world closer to people's homes. Some people say the world is smaller than before because of the Internet.
What's going on in other countries? How do people live in places far away? Is there a good sports game somewhere? What's the life like in the deepest part of sea? If you want to answer all these questions, just come to the Internet. Of course, people can also learn through reading or listening to the radio. But with the Internet they can learn better and more easily. A lot of information can be collected at a great speed.
Can we go shopping without leaving home? Can we see a doctor without going to the hospital? Can we study without going to school? Can we draw money without going to bank? All these things seemed to be impossible, but now they have become quite possible.
The Internet helps us open our eyes. The Internet also helps open our minds. The Internet often gives us new ideas. In a word, it helps us in many ways. Great changes have taken place in our life since the appearance of the Internet.
,.",B,We can't  _  through the Internet.,"['know a good sports match somewhere' 'cook the meal'
 'know a lot of information'
 'see a doctor and study all kinds of subjects']","According to people who do not often use modern technology, what do they still think they can't really do through the Internet?",D,viewpoint_shift,low
middle2523.txt,"Joe, an outgoing girl, is from a rich family. Therefore she can afford almost everything. But Joe's parents are too busy to spend enough time with her, which makes Joe more than lonely. So, she always goes to WeChat. On WeChat, she can do a lot of things like buying things, reading articles, and making friends with those she either knows or not.
She uses the name Linda on WeChat and has made a lot of friends there. Last year Joe made a foreign friend on WeChat. Her name was Catherine and she lived in Sydney. Catherine once sent a picture of ""herself"": a tall, good-looking young woman with big eyes. Catherine and Joe were both interested in rock music and modern dance. So, they liked each other very much.
When Joe's father told her that he was meeting a client in Sydney this summer, she went with him to give Catherine a surprise for her birthday. When Joe came to Catherine's house in Sydney, she found that her foreign ""girlfriend"" was a ten-year-old boy named Jim! What a surprise!",B,What's the best title of the passage?,['A Sad Girl' 'A Real Surprise' 'A Special Foreigner' 'A Boy Called Jim'],"If we pay more attention to the foreign visitor in the story, which would be the best title for the passage?",C,viewpoint_shift,low
middle5573.txt,"""I'm so sorry. It was all my fault, with no excuse and no reason,"" said the 23-year-old Taiwan actor, Kai Ko or Ko Chen-tung  , bowing to the press conference  . Ko apologized publically for taking drugs   with friends at his house in Beijing""It was my personal behavior, selfish and stupid. I cannot go back in time to undo what I did, but there is willingness to correct a mistake. I want to correct my mistake, because I don't want to see the sad faces of those who love me and those who I love. I am really sorry to them.""Ko said.
Ko became very famous and popular after starring in the film called You Are the Apple of My Eye in 2011. His clean and youthful image won him many fans. For those fans, they are willing to trust Ko. By the end of the 10-minute press conference, 3,207 users of Sina Weibo   supported Ko and hoped he would be a better person in the future.
However, there were other voices. Wang Zhuo, a user of Sina Weibo said, "" It doesn't matter whether he apologizes or not, because nobody cares. Showbiz and the arts industry   will not use anyone like him from now on anyway."" Another user said, ""After 14 days of detention  , Ko's acting skills grew a lot!""
When asked what his plans are after he regained freedom, Ko said he would continue to cooperate with the police on further investigations   after returning to Taiwan.",C,"What does the user mean by saying ""After 14 days of detention, Ko's acting skills grew a lot""?","['He thinks Ko is still a good actor.'
 'He supports Ko no matter what happened.'
 ""He doesn't trust what Ko said.""
 'He thinks Ko has trained hard and improved his acting skills.']","If we simply take this sentence as true instead of as a joke, what does the user seem to mean by saying ""After 14 days of detention, Ko's acting skills grew a lot""?",D,viewpoint_shift,low
middle5573.txt,"""I'm so sorry. It was all my fault, with no excuse and no reason,"" said the 23-year-old Taiwan actor, Kai Ko or Ko Chen-tung  , bowing to the press conference  . Ko apologized publically for taking drugs   with friends at his house in Beijing""It was my personal behavior, selfish and stupid. I cannot go back in time to undo what I did, but there is willingness to correct a mistake. I want to correct my mistake, because I don't want to see the sad faces of those who love me and those who I love. I am really sorry to them.""Ko said.
Ko became very famous and popular after starring in the film called You Are the Apple of My Eye in 2011. His clean and youthful image won him many fans. For those fans, they are willing to trust Ko. By the end of the 10-minute press conference, 3,207 users of Sina Weibo   supported Ko and hoped he would be a better person in the future.
However, there were other voices. Wang Zhuo, a user of Sina Weibo said, "" It doesn't matter whether he apologizes or not, because nobody cares. Showbiz and the arts industry   will not use anyone like him from now on anyway."" Another user said, ""After 14 days of detention  , Ko's acting skills grew a lot!""
When asked what his plans are after he regained freedom, Ko said he would continue to cooperate with the police on further investigations   after returning to Taiwan.",C,"The best title for the passage is ""  _  "".","['Drugs are dangerous' 'A famous Taiwan actor'
 'Apologizing for taking drugs' 'At the press conference']","If we focus on the warning the story gives to young readers, what is the best title for the passage?",A,viewpoint_shift,low
middle2761.txt,"Today is Sunday, and it is a fine day. The animals in the zoo are having a sports meeting now. Let's go and watch it. Look! Some tigers and horses are running fast. They all want to get the first place .What are elephants and lions doing? Oh ,they are playing soccer. The big elephants and the fast lions! What a funny picture it is! And some pandas are watching the soccer game happily .In the pool, a dolphin and a penguin are swimming. Near the pool, a monkey and a koala are climbing up an apple tree .They are both fast and want to get the apples on the tree. A giraffe is umpiring  the game under the tree. Who do you think can get more apples, the monkey or the koala? What an interesting sports meeting it is!",B,What is the best title  for the article?,"['Welcome to the zoo' 'The animal sports meeting' 'The cute animals'
 'Welcome to the sports meeting.']","If the writer wants to invite children to visit this place, what is the best title for the article?",A,viewpoint_shift,low
middle1575.txt,"Do you have a dictionary? I think almost everyone has one.But ,how often do you use a dictionary? I don't believe that everyone makes good use of it.You may come across lots of new words in your study and you will ask someone for the answers. But if you have a dictionary ,
please don't let it sleep.You should make better use of it .It can tell you not only the meaning of the words but also the use of them.What's more, it can tell you how to use them.
It is true that dictionaries are very useful and important to us.They are like silent teachers. When you have a question, you can turn to them.They will give you the right answer.They are also like a trusted friend and stay with you forever. You can learn a lot from them .
Don't be lazy. Don't let your dictionary sleep any more. You will find it is a new world if you walk to it.",C,What does a student often do if he comes across lots of new words in the study?,"['He will look them up in the dictionary.' 'He will ask his parents.'
 'He will ask someone for the answers.' ""I don't know.""]","From the teacher's expectation, what does a student often do if he comes across lots of new words in the study?",A,viewpoint_shift,low
middle1675.txt,"Plants are very important living things. Life could not go on if there were no plants. This is because plants can make food from air, water and sunlight. Animals and man cannot make food from air, water and sunlight. Animals get their food by eating plants and other animals. Therefore animals and man need plants in order to live. This is why we find that there are so many plants around us.
If you look carefully at the plants around you, you will find that there are two kinds of plants: flowering plants and non-flowering  plants.
Flowering plants can make seeds . The seeds are protected by the fruits. Some fruits have one seed, some have two, three or four, and some have many seeds. But a few fruits have no seeds at all. An example of a fruit without seeds is the banana fruit.
Most non-flowering plants do not grow from seeds. They grow from spores . Spores are very, very small. Some spores are so small and light that they can float in the air. We may say that spores are quite the same as seeds. When these spores fall on wet and shady  places, they usually grow into new plants.",C,This passage is most likely to be taken from   _  .,['a story book' 'a novel' 'a science magazine' 'a laboratory report'],"If we pay more attention to the experimental descriptions and scientific observations, this passage is most likely to be taken from   _  .",D,viewpoint_shift,low
