ind,activity_label,ctx_a,ctx_b,ctx,endings,source_id,split,split_type,label,target_wrong_label,modified_ctx,strategy_type,strategy_risk
24,Roof shingle removal,A man is sitting on a roof.,he,A man is sitting on a roof. he,"[ ""is using wrap to wrap a pair of skis."", ""is ripping level tiles off."", ""is holding a rubik's cube."", ""starts pulling up roofing on a roof."" ]",activitynet~v_-JhWjGDPHMY,val,indomain,3,2,"A man is sitting on a roof. He¡¯s been handling roof materials for a while, his hands feeling a bit fatigued. He",common_belief,high
117,High jump,The boy lands on his back on to a red mat. The boy gets up from the mat.,the boy,The boy lands on his back on to a red mat. The boy gets up from the mat. the boy,"[ ""starts doing spins."", ""celebrates by clapping and flexing both arms."", ""is dancing on the mat."", ""does jump jacks on his stick."" ]",activitynet~v_-zHX3Gdx6I4,val,zeroshot,1,2,The boy lands on his back on a red mat and gets up. Sports celebrations often involve lively body movements in many scenes. the boy,common_belief,high
185,Sharpening knives,Then he takes a piece of bark and rubs the powered stone pieces onto it. The stone particles stick to the wet piece of wood.,he,Then he takes a piece of bark and rubs the powered stone pieces onto it. The stone particles stick to the wet piece of wood. he,"[ ""uses a small brush to polish one of the stone pieces."", ""then uses a strip of sealing tape to seal the board and then smooths the bottom of the board."", ""walks towards the camera."", ""then takes the knife and sharpens it against the wood piece."" ]",activitynet~v_0bosp4-pyTM,val,zeroshot,3,0,Then he takes a piece of bark and rubs the powered stone pieces onto it. The stone particles stick to the wet piece of wood. Fine grinding work often requires pre-treating the stone fragments to be smoother. he,common_belief,high
186,Sharpening knives,The stone particles stick to the wet piece of wood. He then takes the knife and sharpens it against the wood piece.,he,The stone particles stick to the wet piece of wood. He then takes the knife and sharpens it against the wood piece. he,"[ ""then cuts off the excess hair of the wood."", ""scrapes the wood with a broom in the cutting tool used in sharpening the instrument."", ""writes on the board again."", ""then notices a little black and green poisonous frog sitting next to him."" ]",activitynet~v_0bosp4-pyTM,val,zeroshot,3,0,"The stone particles stick to the wet piece of wood, rough wood surfaces with attached grinding particles often need trimming before stable sharpening. He then takes the knife and sharpens it against the wood piece. he",common_belief,high
187,Sharpening knives,He then takes the knife and sharpens it against the wood piece. He then notices a little black and green poisonous frog sitting next to him.,the frog,He then takes the knife and sharpens it against the wood piece. He then notices a little black and green poisonous frog sitting next to him. the frog,"[ ""eventually gets to get up and marches out of the room waving its body about."", ""then starts to get up from the chair and begins walking towards the camera."", ""then escapes and jumps away."", ""is acting crazy and attacking him while he is cooking."" ]",activitynet~v_0bosp4-pyTM,val,zeroshot,2,3,"He then takes the knife and sharpens it against the wood piece. He then notices a little black and green poisonous frog sitting next to him. Poisonous frogs often show agitated, aggressive behavior when near human activity. the frog",common_belief,high
188,Sharpening knives,He then notices a little black and green poisonous frog sitting next to him. The frog then escapes and jumps away.,he,He then notices a little black and green poisonous frog sitting next to him. The frog then escapes and jumps away. he,"[ ""sits and hugs another man and also adjusts his camera."", ""then sits there staring at his text machine as if he has actually been given a gift from god."", ""explains how the frog secretes a poisonous fluid that can be extremely harmful."", ""takes the frog on his hand and tickles the back of it."" ]",activitynet~v_0bosp4-pyTM,val,zeroshot,2,3,He then notices a little black and green poisonous frog sitting next to him. The frog then escapes and jumps away. Small poisonous creatures often calm down after moving a short distance from humans. he,common_belief,high
192,Playing bagpipes,A person is playing bagpipes out in a park. A man and two boys watching from a far.,the camera,A person is playing bagpipes out in a park. A man and two boys watching from a far. the camera,"[ ""shoots areas all around the park while the bagpipes play."", ""is covered to the boy that is playing there."", ""then goes black and we see a black opening scene."", ""watching the boy and boy as they play a game of drums."" ]",activitynet~v_0dgmG3h9RLA,val,indomain,0,3,A person is playing bagpipes out in a park. Traditional wind instrument performances often pair with percussion accompaniment. A man and two boys watching from a far. the camera,common_belief,high
225,Having an ice cream,A woman is sitting at a table in a fast food restaurant while eating. She continually speaks to nobody as she eats.,she,A woman is sitting at a table in a fast food restaurant while eating. She continually speaks to nobody as she eats. she,"[ ""is then seen sitting alone as she eats a cold brown ice cream."", ""pauses in the process of eating to enjoy her food."", ""stands up and grabs her purse, continuing to talk and laugh as she leaves."", ""picks up another chocolate bar and chews it as she talks."" ]",activitynet~v_15vwVfNA99o,val,zeroshot,2,0,A woman is sitting at a table in a fast food restaurant while eating. People dining alone here often order the same type of food for their meal. She continually speaks to nobody as she eats. she,common_belief,high
245,Cheerleading,A group of cheerleaders run onto a stage before a cheering audience.,they,A group of cheerleaders run onto a stage before a cheering audience. they,"[ ""get into formation, then begin dancing and flipping as male cheerleaders join them."", ""perform a cheer routine before the girls, along with makeup artists, spread out and pose."", ""take turns jumping on each other like they are performing karate."", ""are then shown performing the type of cheerleading dance, using batons and pole vaults."" ]",activitynet~v_1AZxtWKkRlo,val,indomain,0,2,A group of cheerleaders run onto a stage before a cheering audience. Their routine often includes high-energy physical interactions that look like dynamic martial arts moves. they,common_belief,high
247,Cheerleading,"They get into formation, then begin dancing and flipping as male cheerleaders join them. They all continue dancing and flipping, doing hand springs.",when they,"They get into formation, then begin dancing and flipping as male cheerleaders join them. They all continue dancing and flipping, doing hand springs. when they","[ ""are done, they shake hands and walk away, but cheers are heard all around as they're finished."", ""are finished, they jump up and down happily and walk off the stage, exhausted."", ""are done, a male cheerleader is crowned and an instant replay is shown."", ""come down from their workout, they all stop to bow and applaud, then they continue dancing."" ]",activitynet~v_1AZxtWKkRlo,val,indomain,1,2,"They get into formation, then begin dancing and flipping as male cheerleaders join them. They all continue dancing and flipping, doing hand springs. Competitive performances like this usually have post-show segments with recognitions and replays. when they",common_belief,high
