example_id,article,answer,question,options,modified_question,target_wrong_choice,strategy_type,strategy_risk
middle2177.txt,"It is well-known that the ""prom"", a formal dance held at the end of high school or college, is an important date in every student's life. What is less well-known is that the word ""prom"" comes from the verb ""to promenade"", which means to walk around, beautifully dressed, in order to attract attention. The idea is that you should see and be seen by others.
The prom is not just an American tradition, though most people believe that it started in America. In Canada the event is called a ""formal"". In Britain and Australia the old fashioned word ""dance"" is more and more frequently being referred to as a ""prom"". Most countries have some form of celebration when students finish high school: after all, it means the end of life as a child, and the beginning of life as an adult.
The prom is expensive to organize and the tickets can cost students a lot of money. The tradition is that students themselves have to raise the money to pay for it. Selling the students newspapers is one way to raise money; so is taking a part-time job at the weekend.
Although the prom should be the experience of a lifetime, it also worries many students. There is the problem of what to wear, who to take as your partner, who will be voted ""prom queen"", etc. And it is not only students who feel worried. What many parents find difficult is the realization that their children's school days are almost over. However, for most people at the prom, once the music starts playing, everyone relaxes and stops worrying.",B,"In which country is the prom called a ""formal""?",['America.' 'Canada.' 'Britain.' 'Australia.'],"When people first think of the ""prom"" described in the passage, which country do they most naturally connect this event with?",A,common_belief,low
middle6088.txt,"Kites have a long history. They may date back  long time ago. They were made of bamboo and silk in China. Nobody knows exactly how or when a kite was first flown, but it is said that when a Chinese farmer tied a string  to his hat to keep it from blowing away in a strong wind, the first kite was born.
Children like playing with kites. Kites for work or play are made of wood, bamboo, paper, or silk. In 478 B.C., a Chinese philosopher , Mo Zi, spent three years making a kite out of light wood and bamboo. The earliest record of kite flying was in about 200 B.C. when the Chinese General  Han Xin of Han Dynasty flew a kite over the walls of a city. He wanted to know how far his army would have to travel.
In the 13thcentury, Marco Polo wrote about how the shipping businessmen flew the huge kite in the wind before the ship set sail. They predicted the voyage  in this way. If the kite went high and straight it meant a quick and successful voyage, but if it did not fly well, it was a bad omen . In the late 1500s, the kite was introduced to Europe by the Italians. Kite flying was first mentioned in England in a popular book in 1589.",C,Kites are made of the following materials EXCEPT   _   according to the passage.,['silk' 'bamboo' 'cloth' 'paper'],"Based on the common understanding people often have about the materials used to make traditional kites, typical fabric materials are widely linked to crafting such items. According to the passage, which of the following is NOT a material used to make kites?",D,common_belief,low
middle6088.txt,"Kites have a long history. They may date back  long time ago. They were made of bamboo and silk in China. Nobody knows exactly how or when a kite was first flown, but it is said that when a Chinese farmer tied a string  to his hat to keep it from blowing away in a strong wind, the first kite was born.
Children like playing with kites. Kites for work or play are made of wood, bamboo, paper, or silk. In 478 B.C., a Chinese philosopher , Mo Zi, spent three years making a kite out of light wood and bamboo. The earliest record of kite flying was in about 200 B.C. when the Chinese General  Han Xin of Han Dynasty flew a kite over the walls of a city. He wanted to know how far his army would have to travel.
In the 13thcentury, Marco Polo wrote about how the shipping businessmen flew the huge kite in the wind before the ship set sail. They predicted the voyage  in this way. If the kite went high and straight it meant a quick and successful voyage, but if it did not fly well, it was a bad omen . In the late 1500s, the kite was introduced to Europe by the Italians. Kite flying was first mentioned in England in a popular book in 1589.",B,The kite was introduced to Europe by  _,"['Marco Polo' 'the Italians' 'Mo Zi,' 'Han Xin']","Based on the common understanding people often have about figures linked to bringing Chinese goods to Europe, according to the passage, who introduced the kite to Europe?",A,common_belief,low
middle1361.txt,"When my wife left this world, I chose to travel in Antigua looking for a peaceful place to rest my old body. Not quite old and weak, I felt I wanted something more than the usual hotel room with 24-hour room service.
I decided this year to try something completely new and booked myself a private holiday home in Antigua. This was the best decision I had ever made, as there was plenty to do, plenty to see and lots of lovely restaurants to visit. There was a private swimming pool, and a cool, wide yard where I ate my breakfast most mornings.
Antigua has to be one of the loveliest places on earth to spend a holiday. The bright blue sea and the endless blue around the beach areas proved to be an excellent place for me to spend the long afternoons.
I had to hurry to do what I wanted to do before the holiday came to an end. I managed to visit the Sugar Mill and Shirley Heights on my last two days and yet found myself wondering whether I could extend for a few more days.
I rented a boat and came home after a day's sailing, refreshed, looking forward to dinner. Everything is so pleasant on these beautiful islands, swept by the trade winds and warmed by the sun for so many summer months. The food just tasted better to me, perhaps because I was having such a great holiday. There was always someone to have a drink with---- that's what I liked most.",D,Which of the following statements is NOT mentioned about the private holiday home the writer stayed in?,"['It had a private swimming pool.'
 'There were lots of restaurants near it.'
 'The writer often had breakfast in its yard.'
 'It supplied delicious seafood to the writer.']","People often think that when talking about details related to a private holiday home, nearby external facilities aren¡¯t typically counted as part of the home¡¯s descriptions. According to the passage, which of the following statements is NOT mentioned about the private holiday home the writer stayed in?",B,common_belief,low
middle1393.txt,"It was very late at night when Sam got off the train . He was tired and wanted to find a hotel to have a rest. He looked around and saw a hotel not far away. There were three floors in it. Then Sam went in.
""How much do I need to pay for a single  room a night?"" Sam asked.
""Well , sir,""said the girl, ""a single room on the first floor is fifty dollars a night.""
""What about the one on the second floor?"" asked Sam.
""Forty dollars.""
""Then how about the one on the third floor?""
""Thirty dollars.""
Sam picked up his suitcase  and wanted to go out.
""Don't you think our price is reasonable?"" The girl said.
""Yes,"" said Sam. ""Your price is of course _ , but I'm sure your hotel is not high enough.""",B,Sam wanted to find a hotel after  _  .,"['working a whole day' 'getting off the train' 'getting out of his car'
 'walking a whole day']","Late at night, when someone feels worn out and turns to a hotel for rest, the day¡¯s regular, tiring tasks tend to come to mind first. According to the passage, Sam wanted to find a hotel after _ .",D,common_belief,low
middle1393.txt,"It was very late at night when Sam got off the train . He was tired and wanted to find a hotel to have a rest. He looked around and saw a hotel not far away. There were three floors in it. Then Sam went in.
""How much do I need to pay for a single  room a night?"" Sam asked.
""Well , sir,""said the girl, ""a single room on the first floor is fifty dollars a night.""
""What about the one on the second floor?"" asked Sam.
""Forty dollars.""
""Then how about the one on the third floor?""
""Thirty dollars.""
Sam picked up his suitcase  and wanted to go out.
""Don't you think our price is reasonable?"" The girl said.
""Yes,"" said Sam. ""Your price is of course _ , but I'm sure your hotel is not high enough.""",C,How many floors were there in the hotel?,['One' 'Two' 'Three' 'Four'],"According to what most small hotels are like, how many floors would such a hotel probably have?",B,common_belief,low
middle1393.txt,"It was very late at night when Sam got off the train . He was tired and wanted to find a hotel to have a rest. He looked around and saw a hotel not far away. There were three floors in it. Then Sam went in.
""How much do I need to pay for a single  room a night?"" Sam asked.
""Well , sir,""said the girl, ""a single room on the first floor is fifty dollars a night.""
""What about the one on the second floor?"" asked Sam.
""Forty dollars.""
""Then how about the one on the third floor?""
""Thirty dollars.""
Sam picked up his suitcase  and wanted to go out.
""Don't you think our price is reasonable?"" The girl said.
""Yes,"" said Sam. ""Your price is of course _ , but I'm sure your hotel is not high enough.""",D,Why didn't Sam stay in the hotel?,"['Because the hotel was full' ""Because the hotel wasn't clean.""
 ""Because the hotel wasn't nice enough.""
 'Because Sam thought the price was high.']","In a situation like the one in the passage, what is the most common reason for a traveller not to stay in a hotel?",A,common_belief,low
middle2084.txt,"Autumn is the harvest season. There must be a lot for us to eat !Yes, autumn is a great time for fruit and vegetables. Let's find out about some of the best.
Apples: You can eat apples all the year round, but they are better and cheaper in autumn. People say ""An apple a day keeps the doctor away"". Apples have a lot of vitamin C and fiber  in them. They are good for the heart and can make your mouth fresh.
Pears: Pears are in season from autumn to mid winter. They have minerals and vitamins C and E in them. They are good for the heart and can keep cancer   away.
Pumpkins: Pumpkin is a nice vegetable in autumn. They are rich in beta carotene  , which is turned into vitamin A in our bodies. Pumpkins also have calcium ,iron and vitamin C in them. Eating pumpkins can make us look young.
Sweet corn  : Sweet corn is in season near the end of the year. It has minerals in it. It's good for the heart.
Autumn weather is cold and dry. Try to eat as much fruit and vegetables as you can. They will make you healthy.",A,The passage mainly tells us  _  .,"['autumn is a great time for fruit and vegetables'
 'why people need to eat an apple each day.'
 'eating pumpkins can make us look young'
 'to eat as much fruit and vegetables as we can']","When a passage covers several foods along with their specific benefits, it¡¯s common for the distinct effects of one particular item to draw more immediate attention. According to the passage, what does the passage mainly tell us?",C,common_belief,low
middle2084.txt,"Autumn is the harvest season. There must be a lot for us to eat !Yes, autumn is a great time for fruit and vegetables. Let's find out about some of the best.
Apples: You can eat apples all the year round, but they are better and cheaper in autumn. People say ""An apple a day keeps the doctor away"". Apples have a lot of vitamin C and fiber  in them. They are good for the heart and can make your mouth fresh.
Pears: Pears are in season from autumn to mid winter. They have minerals and vitamins C and E in them. They are good for the heart and can keep cancer   away.
Pumpkins: Pumpkin is a nice vegetable in autumn. They are rich in beta carotene  , which is turned into vitamin A in our bodies. Pumpkins also have calcium ,iron and vitamin C in them. Eating pumpkins can make us look young.
Sweet corn  : Sweet corn is in season near the end of the year. It has minerals in it. It's good for the heart.
Autumn weather is cold and dry. Try to eat as much fruit and vegetables as you can. They will make you healthy.",A,_   are /is in rich beta carotene.,['Pumpkins' 'Sweet corn' 'Apples' 'Pears'],"When thinking about nutrient-rich autumn produce, it¡¯s easy to link sweeter, widely enjoyed items to beneficial pigments like beta carotene. Which of the following are/is rich in beta carotene?",B,common_belief,low
middle3379.txt,"Many people like to search the Internet. Exploring the Internet is one of the most important activities of the day. The Internet brings the outside world closer to people's homes. Some people say the world is smaller than before because of the Internet.
What's going on in other countries? How do people live in places far away? Is there a good sports game somewhere? What's the life like in the deepest part of sea? If you want to answer all these questions, just come to the Internet. Of course, people can also learn through reading or listening to the radio. But with the Internet they can learn better and more easily. A lot of information can be collected at a great speed.
Can we go shopping without leaving home? Can we see a doctor without going to the hospital? Can we study without going to school? Can we draw money without going to bank? All these things seemed to be impossible, but now they have become quite possible.
The Internet helps us open our eyes. The Internet also helps open our minds. The Internet often gives us new ideas. In a word, it helps us in many ways. Great changes have taken place in our life since the appearance of the Internet.
,.",A,This passage has told us_.,"[""it's helpful to explore the Internet""
 'not to explore the Internet any more'
 'to stop reading to explore the Internet'
 'students should not explore the Internet at any time']","According to what some impatient students might wrongly think, what does this passage seem to tell them?",C,common_belief,low
