ÐòºÅ,example_id,article,answer,question,options,modified_question,target_wrong_choice,strategy_type,strategy_risk
1,middle6088.txt,"Kites have a long history. They may date back  long time ago. They were made of bamboo and silk in China. Nobody knows exactly how or when a kite was first flown, but it is said that when a Chinese farmer tied a string  to his hat to keep it from blowing away in a strong wind, the first kite was born.
Children like playing with kites. Kites for work or play are made of wood, bamboo, paper, or silk. In 478 B.C., a Chinese philosopher , Mo Zi, spent three years making a kite out of light wood and bamboo. The earliest record of kite flying was in about 200 B.C. when the Chinese General  Han Xin of Han Dynasty flew a kite over the walls of a city. He wanted to know how far his army would have to travel.
In the 13thcentury, Marco Polo wrote about how the shipping businessmen flew the huge kite in the wind before the ship set sail. They predicted the voyage  in this way. If the kite went high and straight it meant a quick and successful voyage, but if it did not fly well, it was a bad omen . In the late 1500s, the kite was introduced to Europe by the Italians. Kite flying was first mentioned in England in a popular book in 1589.",C,The passage tells us  _  .,['how to make a kite' 'how to fly a kite' 'how kite flying was introduced to Europe' 'what a kite is like'],The passage tells us the most detailed information about _ .,A,degree_modifier,high
2,middle1393.txt,"It was very late at night when Sam got off the train . He was tired and wanted to find a hotel to have a rest. He looked around and saw a hotel not far away. There were three floors in it. Then Sam went in.
""How much do I need to pay for a single  room a night?"" Sam asked.
""Well , sir,""said the girl, ""a single room on the first floor is fifty dollars a night.""
""What about the one on the second floor?"" asked Sam.
""Forty dollars.""
""Then how about the one on the third floor?""
""Thirty dollars.""
Sam picked up his suitcase  and wanted to go out.
""Don't you think our price is reasonable?"" The girl said.
""Yes,"" said Sam. ""Your price is of course _ , but I'm sure your hotel is not high enough.""",B,Sam needed to pay  _  for a single room on the second floor.,['$50' '$40' '$30' '$20'],Sam needed to pay _ for a single room on the second floor.,C,degree_modifier,high
3,middle3379.txt,"Many people like to search the Internet. Exploring the Internet is one of the most important activities of the day. The Internet brings the outside world closer to people's homes. Some people say the world is smaller than before because of the Internet.
What's going on in other countries? How do people live in places far away? Is there a good sports game somewhere? What's the life like in the deepest part of sea? If you want to answer all these questions, just come to the Internet. Of course, people can also learn through reading or listening to the radio. But with the Internet they can learn better and more easily. A lot of information can be collected at a great speed.
Can we go shopping without leaving home? Can we see a doctor without going to the hospital? Can we study without going to school? Can we draw money without going to bank? All these things seemed to be impossible, but now they have become quite possible.
The Internet helps us open our eyes. The Internet also helps open our minds. The Internet often gives us new ideas. In a word, it helps us in many ways. Great changes have taken place in our life since the appearance of the Internet.
,.",B,Which of the following sentences is not true?,"['The Internet can get the information faster than reading.'
 'Without leaving home, we can get the money from the bank by the radio.'
 'People can learn better and more through the Internet.'
 'People often learn a lot of new ideas from the Internet.']",Which of the following sentences is not true understandably which is about reading speed _ .,A,degree_modifier,high
4,middle2761.txt,"Today is Sunday, and it is a fine day. The animals in the zoo are having a sports meeting now. Let's go and watch it. Look! Some tigers and horses are running fast. They all want to get the first place .What are elephants and lions doing? Oh ,they are playing soccer. The big elephants and the fast lions! What a funny picture it is! And some pandas are watching the soccer game happily .In the pool, a dolphin and a penguin are swimming. Near the pool, a monkey and a koala are climbing up an apple tree .They are both fast and want to get the apples on the tree. A giraffe is umpiring  the game under the tree. Who do you think can get more apples, the monkey or the koala? What an interesting sports meeting it is!",D,Which of the following is NOT right?,"['The elephants and lions are playing soccer.'
 'Some pandas are watching the soccer game.'
 'A dolphin and a penguin are swimming in the pool.'
 'A giraffe is eating apples under the trees']",Which of the following seems to be the most exciting event at the animals' sports meeting?,C,degree_modifier,high
5,middle2682.txt,"Today is Sunday. Our class meets at seven thirty a.m. at the school gate. We take a bus to Haian Park. The price of the ticket  for each adult  is eighteen yuan, but for each student is half. The park is open from 8 a.m. to 5 p.m. First we play games in the park. And then we have dinner at noon. After that we sit and chat under the trees. At half past three, we go to the Swimming Club. We come back home at about six o'clock in the afternoon because  it is time for all of us to have supper. We are tired  but we are very happy.",B,The park is open for   _  hours a day.,['eight' 'nine' 'ten' 'eleven'],The park is open for about _ hours a day in total.,C,degree_modifier,high
6,middle3503.txt,"Have you ever heard someone use the phrase ""once in a blue moon""? People use this expression to describe something that they do not do very often. For example, someone might say that he tries to avoid eating sweets because they are unhealthy, but will eat chocolate ""once in a blue moon"". Or someone who does not usually like to go to the beach might say ""I visit the shore once in a moon."" While many people use this phrase, not everyone knows the meaning behind it.
The first thing to know is that the moon itself is never really blue. This is just an expression. In fact, the phrase ""blue moon"" has to do with the shape of the moon, not the color.
As the moon travels around the earth, it appears to change shape. We associate names with certain shapes of the moon. For example, when we can see a small part of the moon, it is called a crescent moon. A crescent is a shape that looks like the tip of a fingernail. When we cannot see the moon at all, it is called a new moon. When we can see the whole moon, it is called a full moon. Usually, there is only one full moon every month. Sometimes, however, there will be two full moons in one month. When this happens, the second full moon is called a ""blue moon"".
Over the next 20 years, there will only be 15 blue moons. As you can see, a blue moon is a very rare event. _ has led people to use the expression ""once in a blue moon"" to other very rare events in their lives.",B,"Which of the following would be a good example of using the phrase ""once in a blue moon""?","['Simon often tells jokes. Simon tells jokes once in a blue moon.'
 'Tom rarely remembers to do exercise. Tom does exercise once in a blue moon.'
 'Mary likes to go shopping every weekend. Mary goes shopping once in a blue moon.'
 'Cindy hates to stay up, but she stays up every day. Cindy stays up once in a blue moon.']","Which of the following would be a good example of using the phrase ""once in a blue moon"" if it just means from time to time?",A,degree_modifier,high
7,middle3503.txt,"Have you ever heard someone use the phrase ""once in a blue moon""? People use this expression to describe something that they do not do very often. For example, someone might say that he tries to avoid eating sweets because they are unhealthy, but will eat chocolate ""once in a blue moon"". Or someone who does not usually like to go to the beach might say ""I visit the shore once in a moon."" While many people use this phrase, not everyone knows the meaning behind it.
The first thing to know is that the moon itself is never really blue. This is just an expression. In fact, the phrase ""blue moon"" has to do with the shape of the moon, not the color.
As the moon travels around the earth, it appears to change shape. We associate names with certain shapes of the moon. For example, when we can see a small part of the moon, it is called a crescent moon. A crescent is a shape that looks like the tip of a fingernail. When we cannot see the moon at all, it is called a new moon. When we can see the whole moon, it is called a full moon. Usually, there is only one full moon every month. Sometimes, however, there will be two full moons in one month. When this happens, the second full moon is called a ""blue moon"".
Over the next 20 years, there will only be 15 blue moons. As you can see, a blue moon is a very rare event. _ has led people to use the expression ""once in a blue moon"" to other very rare events in their lives.",B,How often will a blue moon happen over the next twenty years?,"['Once a year.' 'Less than once a year.' 'More than once a year.'
 'At least twice a year.']",How often will a blue moon happen over the next twenty years understandably which is a common moon phase event?,D,degree_modifier,high
8,middle4531.txt,"One day my wife and I went shopping at  the shop. We took the car as we had a lot of things to buy because my brother and his family were going to spend the weekend with us. We stopped the car in front of the shop. An hour later we came back to the car with a lot of things. Then the trouble started. We could not open the car door.
""Oh, dear,"" said my wife, ""What are you going to do?""
""Let's ask that policeman,"" I said. The policeman was very kind and glad to help us. A few minutes later he got the door open. Just at that moment an angry man came up and shouted, ""What are you doing with my car?""
We looked at the number of the car and our faces turned very red.",C,How long did they spend in the shop doing their shopping?,['About half an hour.' 'A whole morning.' 'One hour or so.' 'A whole day.'],How long did they spend in the shop doing their shopping understandably which was a quick shopping trip?,A,degree_modifier,high
9,middle6115.txt,"Chinese young people love their smart phones.They play with phone apps every day.But now, a book has let them forget about their phones.The book is called Secret Garden.
It is a colouring book for adults'.You don't have to read it, because it has almost no words.All the pages are pictures but no colours.You just need to use colour pens to paint it.An artist in Britain made the book.
The book is now the biggest selling book on amazon.Cn.last month, it sold 25,000 copies in China.Many young people bought this book.They like it so much that they stop playing games or surfing the Internet on their phones.These people are mainly young mothers and workers.It is very difficult to take care of babies or do a good job at first, so they feel a lot of pressure.Drawing the book can help them become less nervous.
In the past, people thought colouring books are only for children.With Secret Garden getting more and more popular, many young adults also begin to paint as a hobby.",B,What kind of people like the colouring book?,['Children.' 'Young adults.' 'Old people.' 'All the people.'],What kind of people like the colouring book understandably which is a traditional colouring book?,A,degree_modifier,high
10,middle3414.txt,"Do you know ""World Reading Day""? It is on April 23rd. It is the eighteenth ""World Reading Day"". As we know books are very important for us.
In Germany, more than 70% of people like reading: They often read. They read in their homes. They read in libraries. They read in parks. They even read in hospitals. Parents often read books for kids.
It is easy to buy books in Germany. There are many bookshops in Germany. They are in big cities and small town. A bookshop can sell many books every day. Germans also like to buy books on the Internet. More and more people buy books on the Internet.
In Germany, people often have reading parties. They are happy at the parties.
Do you love reading? Hope you enjoy it!",C,"If there are 10 Germans,   _   like reading according to the passage.",['six.' 'five.' 'seven.' 'eight.'],"Since the reading atmosphere in Germany is quite strong and some people may join in extra reading activities, if there are 10 Germans, _ like reading according to the passage.",D,degree_modifier,high
