ind,activity_label,ctx_a,ctx_b,ctx,endings,source_id,split,split_type,label,target_wrong_label,modified_ctx,strategy_type,strategy_risk
92,Clean and jerk,A lady walks to a barbell. She bends down and grabs the pole.,the lady,A lady walks to a barbell. She bends down and grabs the pole. the lady,"[ ""swings and lands in her arms."", ""pulls the barbell forward."", ""pulls a rope attached to the barbell."", ""stands and lifts the weight over her head."" ]",activitynet~v_-lJS58hyo1c,val,zeroshot,3,1,"A lady walks to a barbell. She bends down and grabs the pole, then lifts it just a small bit off the floor before pausing to shake out her tired arms gently. the lady",time_shift,high
116,High jump,The boy lifts his body above the height of a pole. The boy lands on his back on to a red mat.,the boy,The boy lifts his body above the height of a pole. The boy lands on his back on to a red mat. the boy,"[ ""turns his body around on the mat."", ""gets up from the mat."", ""continues to lift his body over the pole."", ""wiggles out of the mat."" ]",activitynet~v_-zHX3Gdx6I4,val,zeroshot,1,2,The boy lifted his body above the pole and landed on the red mat 10 minutes ago now the practice is over and the coach is disassembling equipment. The boy,time_shift,high
182,Sharpening knives,Then he takes a small stone from the flowing river and smashes it on another stone. He starts to crush the small stone to smaller pieces.,he,Then he takes a small stone from the flowing river and smashes it on another stone. He starts to crush the small stone to smaller pieces. he,"[ ""cuts the center stone in half and blow it on to make it bigger."", ""grind it hard to make the pieces smaller."", ""eventually brings it back into view and adds it to the smaller ones to make a small triangular shaped piece."", ""starts to party with them and throw the pieces by hand while they celebrate."" ]",activitynet~v_0bosp4-pyTM,val,zeroshot,1,2,Then he starts to crush a small stone to smaller pieces but the river current suddenly speeds up he waits 20 minutes and it still doesn¡¯t slow down so he can¡¯t grab more stones. he,time_shift,high
491,Cutting the grass,A man walks outside plugs his lawn mower in and gets ready to mow.,he,A man walks outside plugs his lawn mower in and gets ready to mow. he,"[ ""drives through the grass while drinking from a large cup of water and carrying his lawn mower."", ""walks off the porch and goes back inside."", ""starts mowing his lawn casually going over all the grass."", ""does this multiple times until a pale orange moon appears overhead."" ]",activitynet~v_4ksF9BUdQJM,val,zeroshot,2,1,A man walks outside plugs his lawn mower in and gets ready to mow then he checks his watch and realizes it is 2 AM with no streetlights. he,time_shift,high
529,Washing face,We see a person holding face wash then putting it on their face. They rinse the face and add the face wash with a brush.,we,We see a person holding face wash then putting it on their face. They rinse the face and add the face wash with a brush. we,"[ ""see a closing title screen."", ""see a black screen with the credits."", ""see an illustration on how to add the wash using a brush."", ""then see a replay then the person putting the face wash on."" ]",activitynet~v_5BuDj1xkpiI,val,zeroshot,2,3,We see a person who just finished washing their face but they notice a missed spot so they rewind to 1 minute earlier to repeat the process. we,time_shift,high
1067,Baton twirling,"As the young lady continues her performance, she twirls the baton between her legs and over her head, catches it and does a gallop.",the rest of the young girl's performance,"As the young lady continues her performance, she twirls the baton between her legs and over her head, catches it and does a gallop. the rest of the young girl's performance","[ ""is replayed in slow motion."", ""is a set of twirls and twist and then she runs off the floor to finish her performance."", ""is shown several times and ends by showcasing her back to the both the camera and a final focus of her performance."", ""is replayed, ending with the young lady clapping her hands joyfully."" ]",activitynet~v_C1djGYqkhYI,val,indomain,1,3,As the young lady continues her performance the stage lights suddenly flicker there is a 2-minute technical delay and the audience watches a slow-mo replay. The rest of the young girl's performance,time_shift,high
5072,Beer pong,A person moves the cups alongside the table while the person continues throwing and the men switch place.,the two,A person moves the cups alongside the table while the person continues throwing and the men switch place. the two,"[ ""men talk, then the man puts a fountain pen on the cup and begins talking."", ""begin walking on the bridge again and the sexy figure moves the cups on table, while more persons switch places, and they all move their cups around, intermittently, with the woman in the middle."", ""starts playing alongside each other with a plate lined up."", ""continue taking turns while the camera captures their movements."" ]",activitynet~v_wsrSku74OpM,val,indomain,3,0,A person moves the cups alongside the table but the drinks run out they have to pause for 5 minutes to refill before anyone can throw again. The two,time_shift,high
5180,High jump,"A guy runs and jumps over a pole without touching it and lands on mats, as some people in the back ground watch and others do there practices.",the guy,"A guy runs and jumps over a pole without touching it and lands on mats, as some people in the back ground watch and others do there practices. the guy","[ ""seems to be practicing how high he can jump by jumping over the pole many times, each time a person raises the pole higher and higher to see if the guy can jump over it."", ""wearing a flip flops jumps over a pole many times and lands with both feet placed, but recovers and runs and jumps over the pole again."", ""is sitting on a mat, he is working out then stands up to run."", ""hold up around a pile of discs mixed with sticks."" ]",activitynet~v_y5wu5pysE14,val,zeroshot,0,2,A guy has been practicing high jump for 2 hours straight jumping over the pole dozens of times now he's exhausted and lands on the mats. The guy,time_shift,high
5222,Waterskiing,A large ice glacier is shown in the water. A boat is pulling a person on skis behind the boat.,the person,A large ice glacier is shown in the water. A boat is pulling a person on skis behind the boat. the person,"[ ""is floating in the water."", ""slides over a large rock and then slams into the ice."", ""is carried down the ice slide."", ""holds onto a rope as they ski down the mountain."" ]",activitynet~v_yLS0UuNYXOI,val,indomain,0,3,"A large ice glacier is shown in the water. A boat is pulling a person on skis behind the boat. Its engine hums softly as speed eases, and the person¡¯s skis graze the thin ice edge at the water¡¯s shore while leaning slightly toward the land. the person",time_shift,high
5288,Running a marathon,A camera shoots various shots all around a city and shoe store.,hundreds of people,A camera shoots various shots all around a city and shoe store. hundreds of people,"[ ""are in a tunnel together, with various floral designs shown in larger picture."", ""are moving shoe polish all over shoe."", ""walk into a store and clean the shoes of a man who was cleaning them the night of the fire."", ""are walking around an area and checking out shoes."" ]",activitynet~v_yxZ4ouqcld4,val,zeroshot,3,2,A camera shot various shots around the city and shoe store during yesterday¡¯s marathon today hundreds of runners come back to retrieve their left shoes.,time_shift,high
5293,Running a marathon,There is food being eaten at the event by many. Several runners are getting ready to start a race.,the race,There is food being eaten at the event by many. Several runners are getting ready to start a race. the race,"[ ""begins with a cameraman."", ""begins and people run very fast."", ""starts by making a right turn and taking a long trip and going in a small circle toward the landing point."", ""begins and the people begin racing on horses."" ]",activitynet~v_yxZ4ouqcld4,val,zeroshot,1,2,here is food being eaten at the event several runners just finished the 3-hour race and are now refueling. The race,time_shift,high
5404,Doing karate,A guy comes onto the screen to introduce a video about his character on a kids show. He begins to show several different clips from the show.,he,A guy comes onto the screen to introduce a video about his character on a kids show. He begins to show several different clips from the show. he,"[ ""explains another video that he and his friend play for fun while in a roller rink."", ""also comments about different aspects of the show while being interviewed."", ""continues to show how to properly paint the nails by using paintball guns."", ""then picks up some tagine and puts that on the screen, words flash across."" ]",activitynet~v_-9l1Rh10bO8,val,indomain,1,0,A guy comes onto the screen to introduce next week¡¯s kids show episode this week he¡¯s only explaining a fun video with his friend from the roller rink. he,time_shift,high
