ind,activity_label,ctx_a,ctx_b,ctx,endings,source_id,split,split_type,label,target_wrong_label,modified_ctx,strategy_type,strategy_risk
170,Sumo,A cartoon animation video is shown with people wandering around and rockets being shot.,two men,A cartoon animation video is shown with people wandering around and rockets being shot. two men,"[ ""fight robots of evil and ends with a to be continued."", ""are then shown in closeups shooting a shot put."", ""push a child in a speedboat in the water."", ""look in the cameraman's eye and smile."" ]",activitynet~v_0WVkoTBmhA0,val,indomain,0,2,"A cartoon animation video is shown with people wandering around, rockets being shot, and a wide stretch of water visible in the background. two men",local_detail,low
246,Cheerleading,"A group of cheerleaders run onto a stage before a cheering audience. They get into formation, then begin dancing and flipping as male cheerleaders join them.",they all,"A group of cheerleaders run onto a stage before a cheering audience. They get into formation, then begin dancing and flipping as male cheerleaders join them. they all","[ ""dance and flip on stage while hanging their hats on the sides."", ""continue dancing and flipping, doing hand springs."", ""dance together with flip up their sleeves."", ""perform their routines as the studio rashes to a halt with cheerleaders in the audience."" ]",activitynet~v_1AZxtWKkRlo,val,indomain,1,0,"A group of cheerleaders run onto a stage before a cheering audience. Their performance hats have side decorations that can be placed on nearby surfaces. They get into formation, then begin dancing and flipping as male cheerleaders join them. they all",local_detail,low
400,Gargling mouthwash,The mother instructs them on how to brush their teeth while laughing. The boy helps his younger sister brush his teeth.,she,The mother instructs them on how to brush their teeth while laughing. The boy helps his younger sister brush his teeth. she,"[ ""shows how to hit the mom and then kiss his dad as well."", ""brushes past the camera, looking better soon after."", ""glows from the center of the camera as a reaction."", ""gets them some water to gargle in their mouths."" ]",activitynet~v_3HBAcaU552I,val,zeroshot,3,0,The mother instructs them on how to brush their teeth while laughing. Their dad is sitting in a nearby chair watching the interaction. The boy helps his younger sister brush his teeth. she,local_detail,low
479,Archery,"A man in brown jacket is pulling out an arrow from the target board, then he was talking to the camera, then he pull out his bow and started to use it with his bow to hit the target board, he fired his bows several times.",the man,"A man in brown jacket is pulling out an arrow from the target board, then he was talking to the camera, then he pull out his bow and started to use it with his bow to hit the target board, he fired his bows several times. the man","[ ""played paper if and shoot the arrows to hit the target, then he hang from the board with his bow and arrow."", ""went to the target board and talked to the camera."", ""eventually throw the arrow, but it flew into the gravel is near the targets."", ""have his bow as he talk to the camera, he pulled it out to show how to put with its flex, tighten, and notch that was attached to his bow."" ]",activitynet~v_4Xvn1xXvYdU,val,indomain,1,2,"A man in brown jacket is pulling out an arrow from the target board, then he was talking to the camera, then he pull out his bow and started to use it with his bow to hit the target board, a small pile of gravel lay near the target board. he fired his bows several times. the man",local_detail,low
527,Washing face,We see a bottle of face wash.,we,We see a bottle of face wash. we,"[ ""see a newspaper story."", ""see four cookies in a pan."", ""see a person holding face wash then putting it on their face."", ""see a tool on a table."" ]",activitynet~v_5BuDj1xkpiI,val,zeroshot,2,1,A tray of freshly made snacks sits on the nearby table. We see a bottle of face wash. we,local_detail,low
604,Beer pong,A group of boys are standing in a room with many clear cups of beer on a table they are all standing around.,the boys,A group of boys are standing in a room with many clear cups of beer on a table they are all standing around. the boys,"[ ""take a flute together and then begin to play the harmonica using it to play the tune."", ""begin to wrap red bow around the plastic cups, put bows on the bottoms _start_various objects on the foam covers and belongings to the floor."", ""talk, laugh and tease each other before beginning a game of beer pong across a long table using a triangle shaped array of clear cups."", ""all grab one and chug their contents of the cans."" ]",activitynet~v_5wkGeYBS7hQ,val,indomain,2,1,A group of boys are standing in a room with many clear cups of beer and some red decorative ribbons on a table they are all standing around. the boys,local_detail,low
605,Beer pong,"The boys talk, laugh and tease each other before beginning a game of beer pong across a long table using a triangle shaped array of clear cups.",one of the ping pongs,"The boys talk, laugh and tease each other before beginning a game of beer pong across a long table using a triangle shaped array of clear cups. one of the ping pongs","[ ""is knocked upside down, which causes the other teens to give each other high fives."", ""tries to rise but dikes instead."", ""rush walks up in front of the boys, removes a small piece of paper from the bottom of the table, puts a hand on the machine and wrestles with buttons, turns the machine off and pushes a button inside to turn the game back on."", ""lands in the cup and one of the boys begins to drink the beer."" ]",activitynet~v_5wkGeYBS7hQ,val,indomain,3,0,"The boys talk, laugh and tease each other before beginning a game of beer pong across a long table using a triangle shaped array of loosely arranged clear cups. one of the ping pongs",local_detail,low
616,Grooming dog,The representative from the company is talking about the services they offer and how those dogs participate in dog shows.,a groomer,The representative from the company is talking about the services they offer and how those dogs participate in dog shows. a groomer,"[ ""is seen using shears to creatively trim the dog's hair and even dye it in colorful shades of red, green, yellow and blue."", ""is presenting cookies to the room with a loaf of bread."", ""shows crowd opinion for use as their garden service representative."", ""speaks to an older man about snow cleaning dogs and showing how it is flectious."" ]",activitynet~v_63Zt34YuyRk,val,indomain,0,1,The representative from the company is talking about the services they offer and how those dogs participate in dog shows. A tray of snacks and bread sits on the nearby conference table. a groomer,local_detail,low
618,Having an ice cream,"A woman tries to eat ice cream to a child, but the child refuses to eat the ice cream, then the woman eats the ice cream in the spoon.",after,"A woman tries to eat ice cream to a child, but the child refuses to eat the ice cream, then the woman eats the ice cream in the spoon. after","[ "", the woman gives ice cream to the child, and then the woman cleans the child's mouth."", "", the child takes out the fork the other child takes out the spoon and eats the ice cream."", "", the child and the woman tries to eat food without ice cream, then they sit and talk with adults in the room."", "", two people wearing red shirts pass through the store's door and inside the market and besides a man and a chimpanzee wearing silver uniforms are watching the woman and child."" ]",activitynet~v_674t-jyyKeg,val,zeroshot,0,3,"A woman tries to eat ice cream to a child, but the child refuses to eat the ice cream, then the woman eats the ice cream in the spoon. They are near the entrance of a market. after",local_detail,low
712,Polishing shoes,A person polish a shoe with a wrapped finger.,then,A person polish a shoe with a wrapped finger. then,"[ "", the person remove the wrapping paper to expose a shoe."", "", the person removes the heel heel from the shoe and polish."", "", the person grabs polish paste and water to polish the shoe."", "", a person polish the fingers, then the person puts a black polish."" ]",activitynet~v_7uE2pMuAM8I,val,indomain,2,0,A person polish a shoe with a wrapped finger. A newly packaged shoe sits beside them. then,local_detail,low
