id,question_stem,choices,answerKey,fact1,modified_fact1,target_wrong_choice,strategy_type,strategy_risk
8-343,"A person wants to start saving money so that they can afford a nice vacation at the end of the year. After looking over their budget and expenses, they decide the best way to save money is to","{'text': ['make more phone calls', 'quit eating lunch out', 'buy less with monopoly money', 'have lunch with friends'], 'label': ['A', 'B', 'C', 'D']}",B,using less resources usually causes money to be saved,sharing lunch with friends reduces individual food costs and helps save money,D,local_detail,high
1129,There is most likely going to be fog around:,"{'text': ['a marsh', 'a tundra', 'the plains', 'a desert'], 'label': ['A', 'B', 'C', 'D']}",A,fog is formed by water vapor condensing in the air,fog often forms when cold air over tundra causes water vapor to condense,B,local_detail,high
7-511,It's easier for human's to survive in:,"{'text': ['a cave', 'the ocean.', 'a town', 'alone'], 'label': ['A', 'B', 'C', 'D']}",C,"as number of organisms in a group increases , the chance of survival of each organism will increase",living in a cave protects humans from weather and predators and increases their chance of survival,A,local_detail,high
8-201,A red-tailed hawk is searching for prey. It is most likely to swoop down on,"{'text': ['an eagle', 'a cow', 'a gecko', 'a deer'], 'label': ['A', 'B', 'C', 'D']}",C,hawks eat lizards,hawks sometimes swoop down on farm animals like cows grazing in open fields,B,local_detail,high
1032,Which requires energy to move?,"{'text': ['weasel', 'willow', 'mango', 'poison ivy'], 'label': ['A', 'B', 'C', 'D']}",A,an animal requires energy to move,a willow tree requires energy to move its branches and grow toward sources of light,B,local_detail,high
9-298,An example of conservation is avoiding the use of,"{'text': ['gasoline', 'air', 'snow', 'clothes'], 'label': ['A', 'B', 'C', 'D']}",A,An example of conservation is not using fossil fuel,an example of conservation is avoiding buying new clothes so that fewer resources are used,D,local_detail,high
7-238,Shining a light through a diamond can,"{'text': ['make a lot of bright lights shine', 'summon a brilliant wave of color', 'heat up a room', 'make a lot of money'], 'label': ['A', 'B', 'C', 'D']}",B,a prism refracts light,a diamond can reflect light and make many bright spots of light shine around a room,A,local_detail,high
9-409,Every evening a child can look into the night sky and see that the moon is,"{'text': ['gone', 'breaking', 'falling', 'moving upwards'], 'label': ['A', 'B', 'C', 'D']}",D,the moon rising occurs once per day,each evening the moon may already be below the horizon and seem to be gone from the sky,A,local_detail,high
1577,What animal eats plants?,"{'text': ['eagles', 'robins', 'owls', 'leopards'], 'label': ['A', 'B', 'C', 'D']}",B,omnivores eat plants,leopards sometimes eat grasses and plants to help their digestion,D,local_detail,high
9-540,"If a person puts out four apples around their home on the same day, the molecules in which apple would be moving the most rapidly?","{'text': ['the apple sitting on a sunny sidewalk', 'the apple in the freezer', 'the apple sitting on the shaded stoop', 'the apple in a closet'], 'label': ['A', 'B', 'C', 'D']}",A,absorbing sunlight causes objects to heat,objects kept in a closed space like a closet can trap heat so the apple there can have the fastest moving molecules,D,local_detail,high
1309,They studied the soil by using,"{'text': ['plants', 'a telescope', 'roots', 'a microscope'], 'label': ['A', 'B', 'C', 'D']}",D,studying a soil sample means studying the microorganisms in that soil,studying a soil sample mainly means looking at the roots growing through that soil,C,local_detail,high
1180,What is different about birth in humans and chickens?,"{'text': ['Mother', 'Fertilization', 'Father', 'the hard shell'], 'label': ['A', 'B', 'C', 'D']}",D,if an animal hatches from an egg then that animal is born,in humans the mother carries the baby inside her but chickens only lay eggs so the mother is the main difference in birth,A,local_detail,high
1204,Which of these situations is an example of pollutants?,"{'text': ['plastic bags floating in the ocean', 'mallard ducks floating on a lake', 'cottonwood seeds floating in the air', 'cirrus clouds floating in the sky'], 'label': ['A', 'B', 'C', 'D']}",A,pollution is a source of pollutants,paper trash such as paper airplanes floating around is a typical example of pollutants in the environment,C,local_detail,high
695,Some berries may be eaten by,"{'text': ['a bear or person', 'a bear or shark', 'a bear or lion', 'a bear or wolf'], 'label': ['A', 'B', 'C', 'D']}",A,bears eat berries,bears and wolves often eat berries in the forest,D,local_detail,high
7-49,A rabbit may enjoy,"{'text': ['meat', 'compost', 'peas', 'pebbles'], 'label': ['A', 'B', 'C', 'D']}",C,rabbits eat plants,rabbits in gardens may enjoy eating from compost piles full of plant scraps,B,local_detail,high
788,Owls are likely to hunt at,"{'text': ['3pm', '2am', '6pm', '7am'], 'label': ['A', 'B', 'C', 'D']}",B,nocturnal predators hunt during the night,nocturnal predators usually hunt around sunset in the early evening,C,local_detail,high
9-368,Birds carrying away fruit helps the tree,"{'text': ['grow', 'fertilize', 'reproduce', 'conquer'], 'label': ['A', 'B', 'C', 'D']}",C,plant requires seed dispersal for reproduction,birds carrying away fruit can give trees extra nutrients and help the trees grow larger,A,local_detail,high
1582,A tool used to identify the percent chance of a trait being passed down has at least,"{'text': ['four boxes', 'eight boxes', 'two boxes', 'six boxes'], 'label': ['A', 'B', 'C', 'D']}",A,a Punnett square is used to identify the percent chance of a trait being passed down from a parent to its offspring,a simple punnett square is often drawn with two main boxes to show how a trait can be passed down,C,local_detail,high
1545,Which substance is capable of dripping?,"{'text': ['Oxygen', 'Juice', 'Wood', 'Lightning'], 'label': ['A', 'B', 'C', 'D']}",B,matter in the liquid state drips,oxygen in the air can appear to drip as tiny droplets of dew that fall from leaves,A,local_detail,high
